,MSOA11CD,new_cluster,count
0,E02000193,1,1
1,E02000576,1,1
2,E02000001,1,1
3,E02000001,1,1
4,E02000977,1,1
5,E02000979,1,1
6,E02000972,1,1
7,E02000972,1,1
8,E02000190,1,1
9,E02000977,1,1
10,E02000981,1,1
11,E02000815,1,1
12,E02000815,1,1
13,E02000982,1,1
14,E02000980,1,1
15,E02000968,1,1
16,E02006801,1,1
17,E02006801,1,1
18,E02000576,1,1
19,E02000812,1,1
20,E02000184,1,1
21,E02000967,1,1
22,E02000967,1,1
23,E02000974,1,1
24,E02000620,1,1
25,E02000977,1,1
26,E02000570,1,1
27,E02000192,1,1
28,E02000193,1,1
29,E02000983,1,1
30,E02000983,1,1
31,E02000188,1,1
32,E02000882,1,1
33,E02000882,1,1
34,E02000575,1,1
35,E02000574,1,1
36,E02000972,1,1
37,E02000880,1,1
38,E02000978,0,1
39,E02000193,1,1
40,E02000924,1,1
41,E02000370,1,1
42,E02000637,1,1
43,E02000183,1,1
44,E02000193,1,1
45,E02000566,1,1
46,E02000725,1,1
47,E02006802,1,1
48,E02000184,1,1
49,E02000001,1,1
50,E02000170,1,1
51,E02000001,1,1
52,E02000001,1,1
53,E02000001,1,1
54,E02000587,1,1
55,E02000891,1,1
56,E02000620,1,1
57,E02000620,1,1
58,E02000620,1,1
59,E02000186,1,1
60,E02000966,1,1
61,E02000624,1,1
62,E02000818,1,1
63,E02000573,1,1
64,E02000586,1,1
65,E02006801,1,1
66,E02000572,1,1
67,E02000572,1,1
68,E02000749,0,1
69,E02000816,1,1
70,E02000816,1,1
71,E02000367,1,1
72,E02000808,1,1
73,E02000964,1,1
74,E02000865,1,1
75,E02000966,1,1
76,E02000868,1,1
77,E02000983,1,1
78,E02000983,1,1
79,E02000176,1,1
80,E02000383,1,1
81,E02000625,1,1
82,E02000625,1,1
83,E02000972,1,1
84,E02000977,1,1
85,E02000570,1,1
86,E02000924,1,1
87,E02000303,1,1
88,E02000942,1,1
89,E02000979,1,1
90,E02000979,1,1
91,E02000426,1,1
92,E02000661,0,1
93,E02000933,0,1
94,E02000838,1,1
95,E02000361,1,1
96,E02000911,1,1
97,E02000192,1,1
98,E02006931,1,1
99,E02000271,1,1
100,E02000388,1,1
101,E02000692,1,1
102,E02000340,0,1
103,E02000572,1,1
104,E02000572,1,1
105,E02000575,1,1
106,E02000573,1,1
107,E02000194,0,1
108,E02000972,1,1
109,E02000187,1,1
110,E02000979,1,1
111,E02000815,1,1
112,E02000977,1,1
113,E02000001,1,1
114,E02000979,1,1
115,E02000979,1,1
116,E02000186,1,1
117,E02000808,1,1
118,E02000193,1,1
119,E02000623,1,1
120,E02000979,1,1
121,E02000924,1,1
122,E02000001,1,1
123,E02000575,1,1
124,E02000193,1,1
125,E02006802,1,1
126,E02000820,1,1
127,E02000595,1,1
128,E02000595,1,1
129,E02000983,1,1
130,E02000983,1,1
131,E02000576,1,1
132,E02000972,1,1
133,E02000972,1,1
134,E02000746,0,1
135,E02000981,1,1
136,E02000184,1,1
137,E02000184,1,1
138,E02000628,1,1
139,E02000001,1,1
140,E02000001,1,1
141,E02000620,1,1
142,E02000970,1,1
143,E02000193,1,1
144,E02000001,1,1
145,E02000546,0,1
146,E02000793,0,1
147,E02000193,1,1
148,E02000193,1,1
149,E02000576,1,1
150,E02006801,1,1
151,E02000977,1,1
152,E02000972,1,1
153,E02000974,1,1
154,E02000974,1,1
155,E02000001,1,1
156,E02000977,1,1
157,E02000001,1,1
158,E02000001,1,1
159,E02000184,1,1
160,E02000972,1,1
161,E02000184,1,1
