,MSOA11CD,cluster_1_degree
0,E02000001,58
1,E02000003,0
2,E02000005,0
3,E02000008,0
4,E02000016,0
5,E02000019,0
6,E02000031,0
7,E02000032,0
8,E02000042,0
9,E02000044,0
10,E02000045,2
11,E02000046,0
12,E02000050,0
13,E02000052,0
14,E02000054,1
15,E02000055,2
16,E02000056,0
17,E02000057,1
18,E02000059,4
19,E02000062,7
20,E02000064,1
21,E02000067,0
22,E02000068,0
23,E02000074,0
24,E02000079,0
25,E02000080,0
26,E02000087,0
27,E02000092,0
28,E02000093,0
29,E02000094,0
30,E02000101,0
31,E02000102,1
32,E02000103,3
33,E02000106,0
34,E02000107,1
35,E02000109,0
36,E02000110,1
37,E02000113,1
38,E02000114,0
39,E02000117,3
40,E02000119,0
41,E02000120,2
42,E02000122,0
43,E02000123,4
44,E02000124,2
45,E02000126,1
46,E02000128,0
47,E02000130,0
48,E02000132,0
49,E02000138,0
50,E02000140,0
51,E02000144,0
52,E02000153,0
53,E02000166,1
54,E02000167,1
55,E02000168,2
56,E02000170,5
57,E02000172,4
58,E02000174,3
59,E02000175,6
60,E02000176,5
61,E02000177,2
62,E02000178,1
63,E02000180,2
64,E02000182,1
65,E02000183,2
66,E02000184,10
67,E02000186,13
68,E02000187,5
69,E02000188,9
70,E02000189,12
71,E02000190,9
72,E02000191,7
73,E02000192,8
74,E02000193,32
75,E02000194,0
76,E02000195,0
77,E02000197,4
78,E02000198,1
79,E02000199,1
80,E02000200,0
81,E02000202,0
82,E02000203,2
83,E02000206,0
84,E02000229,0
85,E02000246,0
86,E02000252,0
87,E02000257,0
88,E02000261,3
89,E02000262,0
90,E02000267,0
91,E02000268,0
92,E02000271,4
93,E02000275,0
94,E02000276,0
95,E02000278,0
96,E02000288,0
97,E02000292,0
98,E02000294,0
99,E02000295,0
100,E02000296,0
101,E02000299,1
102,E02000303,1
103,E02000306,3
104,E02000307,0
105,E02000308,0
106,E02000309,0
107,E02000311,0
108,E02000312,0
109,E02000315,0
110,E02000318,0
111,E02000323,0
112,E02000328,2
113,E02000337,0
114,E02000339,0
115,E02000340,0
116,E02000341,0
117,E02000342,0
118,E02000345,2
119,E02000347,1
120,E02000348,2
121,E02000351,0
122,E02000354,0
123,E02000357,0
124,E02000358,4
125,E02000359,1
126,E02000360,2
