MSOA11CD,count_length_0,count_length_1,count_sum_0,count_sum_1
E02000001,2,6,2,6
E02000003,1,0,1,0
E02000016,1,0,1,0
E02000017,1,0,1,0
E02000019,1,0,1,0
E02000029,1,0,1,0
E02000031,1,0,1,0
E02000033,1,0,1,0
E02000035,2,0,2,0
E02000045,2,0,2,0
E02000046,1,0,1,0
E02000052,1,0,1,0
E02000053,1,0,1,0
E02000054,0,1,0,1
E02000055,0,3,0,3
E02000058,2,0,2,0
E02000059,1,0,1,0
E02000060,1,0,1,0
E02000062,3,1,3,1
E02000067,1,0,1,0
E02000069,1,0,1,0
E02000071,1,0,1,0
E02000080,1,0,1,0
E02000083,1,0,1,0
E02000093,1,0,1,0
E02000094,1,0,1,0
E02000095,2,0,2,0
E02000097,2,0,2,0
E02000099,1,0,1,0
E02000101,1,0,1,0
E02000102,0,1,0,1
E02000103,0,2,0,2
E02000106,3,0,3,0
E02000107,0,1,0,1
E02000108,1,0,1,0
E02000109,1,0,1,0
E02000110,1,0,1,0
E02000113,2,0,2,0
E02000114,1,0,1,0
E02000117,2,0,2,0
E02000118,1,0,1,0
E02000119,2,0,2,0
E02000120,1,0,1,0
E02000121,1,0,1,0
E02000123,2,0,2,0
E02000124,1,0,1,0
E02000127,1,0,1,0
E02000146,1,0,1,0
E02000150,1,0,1,0
E02000156,1,0,1,0
E02000160,1,0,1,0
E02000168,0,3,0,3
E02000170,1,1,1,1
E02000172,1,0,1,0
E02000175,2,0,2,0
E02000176,1,0,1,0
E02000180,1,0,1,0
E02000184,1,0,1,0
E02000186,0,3,0,3
E02000187,1,0,1,0
E02000188,0,1,0,1
E02000190,0,3,0,3
E02000191,0,2,0,2
E02000192,0,1,0,1
E02000193,0,1,0,1
E02000195,1,0,1,0
E02000197,1,0,1,0
E02000200,1,0,1,0
E02000202,1,0,1,0
E02000209,2,0,2,0
E02000213,1,0,1,0
E02000217,1,0,1,0
E02000221,1,0,1,0
E02000241,1,0,1,0
E02000244,1,0,1,0
E02000246,1,0,1,0
E02000249,2,0,2,0
E02000252,1,0,1,0
E02000255,1,0,1,0
E02000257,2,0,2,0
E02000258,1,0,1,0
E02000261,1,3,1,3
E02000262,0,3,0,3
E02000265,1,0,1,0
E02000266,1,0,1,0
E02000267,1,0,1,0
E02000268,2,0,2,0
E02000271,2,0,2,0
E02000276,0,1,0,1
E02000278,1,0,1,0
E02000292,1,0,1,0
E02000296,1,0,1,0
E02000318,1,0,1,0
E02000324,1,0,1,0
E02000339,1,0,1,0
E02000348,1,0,1,0
E02000351,1,0,1,0
E02000353,1,0,1,0
E02000354,1,0,1,0
E02000357,1,0,1,0
E02000358,1,0,1,0
E02000363,1,0,1,0
E02000372,2,0,2,0
E02000375,1,0,1,0
E02000376,1,0,1,0
E02000377,0,1,0,1
E02000378,2,0,2,0
E02000381,0,1,0,1
E02000384,0,2,0,2
E02000385,1,0,1,0
E02000387,2,0,2,0
E02000389,1,0,1,0
E02000391,1,0,1,0
E02000392,1,0,1,0
E02000396,1,0,1,0
E02000402,1,0,1,0
E02000411,2,0,2,0
E02000414,0,1,0,1
E02000416,1,0,1,0
E02000419,1,0,1,0
E02000420,0,2,0,2
E02000427,1,0,1,0
E02000430,2,0,2,0
E02000443,3,0,3,0
E02000445,1,0,1,0
E02000448,2,0,2,0
E02000452,1,0,1,0
E02000455,1,0,1,0
E02000456,2,0,2,0
E02000486,1,0,1,0
E02000500,2,0,2,0
E02000508,1,0,1,0
E02000524,1,0,1,0
E02000526,2,0,2,0
E02000528,2,3,2,3
E02000529,1,0,1,0
E02000531,1,0,1,0
E02000532,2,0,2,0
E02000534,1,0,1,0
E02000537,1,1,1,1
E02000539,1,0,1,0
E02000540,2,1,2,1
E02000543,0,1,0,1
E02000544,0,1,0,1
E02000545,2,0,2,0
E02000548,1,0,1,0
E02000549,2,0,2,0
E02000551,1,0,1,0
E02000553,1,0,1,0
E02000554,2,0,2,0
E02000555,1,0,1,0
E02000557,1,0,1,0
E02000560,0,1,0,1
E02000563,0,2,0,2
E02000565,1,0,1,0
E02000568,0,2,0,2
E02000570,1,0,1,0
E02000572,0,1,0,1
E02000573,0,2,0,2
E02000574,0,5,0,5
E02000575,0,1,0,1
E02000576,1,0,1,0
E02000584,1,0,1,0
E02000587,1,0,1,0
E02000591,2,0,2,0
E02000597,1,0,1,0
E02000599,1,0,1,0
E02000601,1,0,1,0
E02000602,1,0,1,0
E02000620,2,0,2,0
E02000621,1,0,1,0
E02000625,1,0,1,0
E02000628,1,0,1,0
E02000631,1,0,1,0
E02000632,2,0,2,0
E02000633,1,0,1,0
E02000636,1,0,1,0
E02000638,1,0,1,0
E02000640,1,0,1,0
E02000642,1,0,1,0
E02000643,1,0,1,0
E02000644,0,1,0,1
E02000646,1,0,1,0
E02000647,0,2,0,2
E02000649,2,0,2,0
E02000652,2,0,2,0
E02000655,2,0,2,0
E02000664,1,0,1,0
E02000668,2,0,2,0
E02000677,1,0,1,0
E02000685,1,0,1,0
E02000687,1,0,1,0
E02000689,1,0,1,0
E02000693,3,0,3,0
E02000694,1,0,1,0
E02000695,1,0,1,0
E02000696,2,0,2,0
E02000697,1,0,1,0
E02000702,1,0,1,0
E02000703,1,0,1,0
E02000704,3,0,3,0
E02000705,1,0,1,0
E02000710,1,0,1,0
E02000711,3,0,3,0
E02000713,1,0,1,0
E02000726,1,0,1,0
E02000728,1,0,1,0
E02000738,1,0,1,0
E02000742,1,0,1,0
E02000743,0,3,0,3
E02000774,1,0,1,0
E02000781,1,0,1,0
E02000786,1,0,1,0
E02000787,1,0,1,0
E02000788,2,0,2,0
E02000789,1,0,1,0
E02000793,1,0,1,0
E02000794,1,0,1,0
E02000798,2,0,2,0
E02000799,1,0,1,0
E02000801,1,0,1,0
E02000803,1,0,1,0
E02000806,1,0,1,0
E02000808,1,0,1,0
E02000813,1,0,1,0
E02000815,2,1,2,1
E02000816,1,0,1,0
E02000818,1,0,1,0
E02000820,0,1,0,1
E02000821,1,0,1,0
E02000823,0,1,0,1
E02000827,1,2,1,2
E02000828,1,0,1,0
E02000833,1,0,1,0
E02000834,1,0,1,0
E02000837,1,0,1,0
E02000838,1,0,1,0
E02000840,1,0,1,0
E02000858,1,0,1,0
E02000867,1,0,1,0
E02000868,1,0,1,0
E02000873,1,0,1,0
E02000888,1,0,1,0
E02000900,1,0,1,0
E02000903,1,0,1,0
E02000911,1,0,1,0
E02000915,2,0,2,0
E02000923,1,0,1,0
E02000926,2,0,2,0
E02000930,0,2,0,2
E02000932,1,0,1,0
E02000934,0,1,0,1
E02000936,0,4,0,4
E02000940,2,0,2,0
E02000941,1,0,1,0
E02000942,1,0,1,0
E02000943,0,1,0,1
E02000945,1,0,1,0
E02000949,0,2,0,2
E02000954,2,0,2,0
E02000956,1,0,1,0
E02000957,1,0,1,0
E02000959,2,0,2,0
E02000961,1,0,1,0
E02000962,2,0,2,0
E02000967,2,0,2,0
E02000971,1,0,1,0
E02000972,0,3,0,3
E02000973,1,0,1,0
E02000975,1,0,1,0
E02000976,1,0,1,0
E02000977,3,0,3,0
E02000978,2,0,2,0
E02000979,1,0,1,0
E02000980,0,2,0,2
E02000981,0,2,0,2
E02000982,2,0,2,0
E02000983,0,1,0,1
E02006786,1,0,1,0
E02006791,2,0,2,0
E02006793,1,0,1,0
E02006795,1,0,1,0
E02006796,2,0,2,0
E02006801,1,0,1,0
E02006802,0,3,0,3
E02006854,1,0,1,0
E02006918,1,0,1,0
E02006928,1,0,1,0
E02006930,1,0,1,0
