MSOA11CD,count_length_0,count_length_1,count_sum_0,count_sum_1
E02000001,0,58,0,58
E02000003,1,0,1,0
E02000005,1,0,1,0
E02000008,1,0,1,0
E02000016,1,0,1,0
E02000019,3,0,3,0
E02000031,1,0,1,0
E02000032,1,0,1,0
E02000042,1,0,1,0
E02000044,1,0,1,0
E02000045,0,2,0,2
E02000046,2,0,2,0
E02000050,1,0,1,0
E02000052,3,0,3,0
E02000054,0,1,0,1
E02000055,0,2,0,2
E02000056,2,0,2,0
E02000057,0,1,0,1
E02000059,0,4,0,4
E02000062,0,7,0,7
E02000064,0,1,0,1
E02000067,1,0,1,0
E02000068,1,0,1,0
E02000074,1,0,1,0
E02000079,3,0,3,0
E02000080,2,0,2,0
E02000087,1,0,1,0
E02000092,1,0,1,0
E02000093,1,0,1,0
E02000094,1,0,1,0
E02000101,2,0,2,0
E02000102,0,1,0,1
E02000103,0,3,0,3
E02000106,1,0,1,0
E02000107,0,1,0,1
E02000109,1,0,1,0
E02000110,1,1,1,1
E02000113,1,1,1,1
E02000114,1,0,1,0
E02000117,0,3,0,3
E02000119,4,0,4,0
E02000120,0,2,0,2
E02000122,1,0,1,0
E02000123,0,4,0,4
E02000124,1,2,1,2
E02000126,0,1,0,1
E02000128,1,0,1,0
E02000130,1,0,1,0
E02000132,1,0,1,0
E02000138,1,0,1,0
E02000140,1,0,1,0
E02000144,2,0,2,0
E02000153,1,0,1,0
E02000166,0,1,0,1
E02000167,0,1,0,1
E02000168,0,2,0,2
E02000170,0,5,0,5
E02000172,0,4,0,4
E02000174,0,3,0,3
E02000175,0,6,0,6
E02000176,0,5,0,5
E02000177,0,2,0,2
E02000178,0,1,0,1
E02000180,0,2,0,2
E02000182,0,1,0,1
E02000183,0,2,0,2
E02000184,0,10,0,10
E02000186,0,13,0,13
E02000187,0,5,0,5
E02000188,0,9,0,9
E02000189,0,12,0,12
E02000190,0,9,0,9
E02000191,0,7,0,7
E02000192,0,8,0,8
E02000193,0,32,0,32
E02000194,2,0,2,0
E02000195,2,0,2,0
E02000197,0,4,0,4
E02000198,0,1,0,1
E02000199,0,1,0,1
E02000200,1,0,1,0
E02000202,1,0,1,0
E02000203,0,2,0,2
E02000206,1,0,1,0
E02000229,1,0,1,0
E02000246,2,0,2,0
E02000252,2,0,2,0
E02000257,2,0,2,0
E02000261,0,3,0,3
E02000262,3,0,3,0
E02000267,1,0,1,0
E02000268,1,0,1,0
E02000271,0,4,0,4
E02000275,1,0,1,0
E02000276,1,0,1,0
E02000278,1,0,1,0
E02000288,1,0,1,0
E02000292,1,0,1,0
E02000294,1,0,1,0
E02000295,1,0,1,0
E02000296,2,0,2,0
E02000299,0,1,0,1
E02000303,0,1,0,1
E02000306,0,3,0,3
E02000307,2,0,2,0
E02000308,1,0,1,0
E02000309,1,0,1,0
E02000311,1,0,1,0
E02000312,2,0,2,0
E02000315,2,0,2,0
E02000318,1,0,1,0
E02000323,2,0,2,0
E02000328,1,2,1,2
E02000337,1,0,1,0
E02000339,1,0,1,0
E02000340,1,0,1,0
E02000341,1,0,1,0
E02000342,1,0,1,0
E02000345,0,2,0,2
E02000347,0,1,0,1
E02000348,0,2,0,2
E02000351,1,0,1,0
E02000354,1,0,1,0
E02000357,1,0,1,0
E02000358,0,4,0,4
E02000359,0,1,0,1
E02000360,0,2,0,2
E02000361,0,3,0,3
E02000363,0,1,0,1
E02000365,0,4,0,4
E02000366,0,3,0,3
E02000367,0,1,0,1
E02000368,0,1,0,1
E02000370,0,7,0,7
E02000371,0,28,0,28
E02000372,0,2,0,2
E02000375,0,6,0,6
E02000376,0,1,0,1
E02000377,0,3,0,3
E02000378,0,2,0,2
E02000381,0,1,0,1
E02000382,0,1,0,1
E02000383,0,2,0,2
E02000384,0,7,0,7
E02000385,0,2,0,2
E02000387,0,2,0,2
E02000388,0,2,0,2
E02000389,0,4,0,4
E02000390,0,1,0,1
E02000391,0,3,0,3
E02000392,0,6,0,6
E02000393,0,1,0,1
E02000395,0,1,0,1
E02000396,0,3,0,3
E02000397,1,0,1,0
E02000398,3,0,3,0
E02000402,1,0,1,0
E02000404,2,0,2,0
E02000405,0,1,0,1
E02000408,1,0,1,0
E02000410,0,1,0,1
E02000411,1,0,1,0
E02000412,0,1,0,1
E02000414,0,2,0,2
E02000416,0,1,0,1
E02000419,1,1,1,1
E02000420,0,2,0,2
E02000421,1,0,1,0
E02000423,1,0,1,0
E02000424,0,2,0,2
E02000426,0,1,0,1
E02000429,0,1,0,1
E02000430,0,1,0,1
E02000431,0,1,0,1
E02000432,0,1,0,1
E02000443,1,0,1,0
E02000455,2,0,2,0
E02000456,1,0,1,0
E02000462,1,0,1,0
E02000467,2,0,2,0
E02000476,2,0,2,0
E02000514,1,0,1,0
E02000515,1,0,1,0
E02000520,1,0,1,0
E02000523,2,0,2,0
E02000525,1,0,1,0
E02000526,1,0,1,0
E02000528,1,0,1,0
E02000531,1,0,1,0
E02000532,2,0,2,0
E02000538,1,0,1,0
E02000543,2,0,2,0
E02000544,1,0,1,0
E02000545,1,0,1,0
E02000546,1,0,1,0
E02000549,1,0,1,0
E02000550,1,0,1,0
E02000554,0,4,0,4
E02000557,0,5,0,5
E02000560,0,7,0,7
E02000562,1,0,1,0
E02000563,0,3,0,3
E02000564,0,3,0,3
E02000565,2,0,2,0
E02000566,0,4,0,4
E02000568,0,4,0,4
E02000569,0,2,0,2
E02000570,0,5,0,5
E02000571,0,5,0,5
E02000572,0,12,0,12
E02000573,0,9,0,9
E02000574,0,9,0,9
E02000575,0,16,0,16
E02000576,0,12,0,12
E02000577,0,1,0,1
E02000579,0,2,0,2
E02000580,0,2,0,2
E02000581,0,1,0,1
