,MSOA11CD,new_cluster,count
0,E02000357,0,1
1,E02006786,0,1
2,E02000900,0,1
3,E02000549,0,1
4,E02000655,0,1
5,E02000602,0,1
6,E02000911,0,1
7,E02000868,0,1
8,E02000529,0,1
9,E02000095,0,1
10,E02000121,0,1
11,E02000486,0,1
12,E02000549,0,1
13,E02000209,0,1
14,E02000209,0,1
15,E02000711,0,1
16,E02000045,0,1
17,E02000903,0,1
18,E02000668,0,1
19,E02006928,0,1
20,E02000867,0,1
21,E02000687,0,1
22,E02000702,0,1
23,E02000668,0,1
24,E02000017,0,1
25,E02006918,0,1
26,E02000834,0,1
27,E02000789,0,1
28,E02000545,0,1
29,E02000821,0,1
30,E02000202,0,1
31,E02000601,0,1
32,E02000693,0,1
33,E02000123,0,1
34,E02000794,0,1
35,E02000266,0,1
36,E02000828,0,1
37,E02000180,0,1
38,E02000348,0,1
39,E02000053,0,1
40,E02000246,0,1
41,E02000652,0,1
42,E02000414,1,1
43,E02000693,0,1
44,E02000358,0,1
45,E02000696,0,1
46,E02000545,0,1
47,E02000249,0,1
48,E02000696,0,1
49,E02000945,0,1
50,E02000097,0,1
51,E02000170,1,1
52,E02000099,0,1
53,E02000102,1,1
54,E02000695,0,1
55,E02000833,0,1
56,E02000430,0,1
57,E02000117,0,1
58,E02000528,1,1
59,E02000101,0,1
60,E02000959,0,1
61,E02000271,0,1
62,E02000419,0,1
63,E02000097,0,1
64,E02000621,0,1
65,E02000563,1,1
66,E02006795,0,1
67,E02006791,0,1
68,E02000103,1,1
69,E02000532,0,1
70,E02000055,1,1
71,E02000176,0,1
72,E02000093,0,1
73,E02000261,1,1
74,E02000738,0,1
75,E02000973,0,1
76,E02000172,0,1
77,E02000213,0,1
78,E02000267,0,1
79,E02000500,0,1
80,E02000146,0,1
81,E02000110,0,1
82,E02000114,0,1
83,E02000967,0,1
84,E02000069,0,1
85,E02000448,0,1
86,E02000563,1,1
87,E02000106,0,1
88,E02000160,0,1
89,E02000816,0,1
90,E02000631,0,1
91,E02000975,0,1
92,E02000620,0,1
93,E02000387,0,1
94,E02000062,0,1
95,E02000354,0,1
96,E02000508,0,1
97,E02000353,0,1
98,E02000445,0,1
99,E02000019,0,1
100,E02000107,1,1
101,E02000080,0,1
