,MSOA11CD,cluster_1_degree,restaurant,edu_rate,population,income,workplace,employee,PTAI,rail_sta,under_sta,supermarket,bus_stop,Code,houseprice,area,rest_degree,pop_degree,income_degree,lnincome,hou_degree,lnhouseprice,workplace_degree,employee_degree,rail_degree,under_degree,market_degree,bus_degree,rest_density,pop_density,income_density,hou_density,workplace_density,employee_density,rail_density,under_density,market_density,bus_density
0,E02000001,58.0,243.0,0.684,10938,65400,26500.0,517000.0,4.858553091,6.0,6.0,35.0,121.0,E02000001,835000,315.14,0.7710858665989719,34.708383575553725,207.5268134797233,11.08827753744529,2649.616043663134,13.635187003832993,84.08961096655455,1640.5407120644793,0.019039157199974614,0.019039157199974614,0.11106175033318526,0.38395633686615477,0.7710858665989719,34.708383575553725,207.5268134797233,2649.616043663134,84.08961096655455,1640.5407120644793,0.019039157199974614,0.019039157199974614,0.11106175033318526,0.38395633686615477
1,E02000002,0.0,0.0,0.182,7726,39000,240.0,1000.0,0.290854312,0.0,0.0,1.0,20.0,E02000002,313750,216.15,0.0,35.74369650705528,180.43025676613462,10.571316925111784,1451.5382835993523,12.656351769428131,1.1103400416377516,4.626416840157298,0.0,0.0,0.004626416840157298,0.09252833680314596,0.0,35.74369650705528,180.43025676613462,1451.5382835993523,1.1103400416377516,4.626416840157298,0.0,0.0,0.004626416840157298,0.09252833680314596
2,E02000003,0.0,3.0,0.235,11246,47800,570.0,3500.0,6.985213308,0.0,0.0,2.0,18.0,E02000003,330000,214.15,0.014008872285780995,52.514592575297684,223.20803175344383,10.774780918479548,1540.9759514359093,12.706847933442663,2.661685734298389,16.34368433341116,0.0,0.0,0.009339248190520663,0.08405323371468597,0.014008872285780995,52.514592575297684,223.20803175344383,1540.9759514359093,2.661685734298389,16.34368433341116,0.0,0.0,0.009339248190520663,0.08405323371468597
3,E02000004,0.0,0.0,0.179,6646,43700,170.0,1250.0,4.859534169,0.0,0.0,1.0,14.0,E02000004,340000,249.28,0.0,26.660783055198973,175.3048780487805,10.685103381083682,1363.9281129653402,12.736700896592344,0.6819640564826701,5.014441591784339,0.0,0.0,0.004011553273427471,0.0561617458279846,0.0,26.660783055198973,175.3048780487805,1363.9281129653402,0.6819640564826701,5.014441591784339,0.0,0.0,0.004011553273427471,0.0561617458279846
4,E02000005,0.0,1.0,0.176,10540,44900,320.0,1250.0,1.901568913,0.0,0.0,3.0,11.0,E02000005,315500,118.81,0.0084167999326656,88.71307129029543,377.9143169766855,10.712193073730345,2655.5003787559967,12.661913960963405,2.693375978452992,10.520999915832,0.0,0.0,0.0252503997979968,0.0925847992593216,0.0084167999326656,88.71307129029543,377.9143169766855,2655.5003787559967,2.693375978452992,10.520999915832,0.0,0.0,0.0252503997979968,0.0925847992593216
5,E02000007,0.0,0.0,0.176,10076,38000,295.0,2000.0,2.892130766,0.0,0.0,2.0,17.0,E02000007,300000,173.58,0.0,58.048162230671736,218.91923032607443,10.545341438708522,1728.3097131005875,12.611537753638338,1.6995045512155778,11.522064754003917,0.0,0.0,0.011522064754003917,0.09793755040903329,0.0,58.048162230671736,218.91923032607443,1728.3097131005875,1.6995045512155778,11.522064754003917,0.0,0.0,0.011522064754003917,0.09793755040903329
6,E02000008,0.0,0.0,0.162,12777,40900,355.0,1750.0,5.683316367,0.0,0.0,1.0,22.0,E02000008,295000,141.99,0.0,89.98521022607225,288.04845411648705,10.618885342030893,2077.611099373195,12.594730635321957,2.5001760687372347,12.324811606451158,0.0,0.0,0.0070427494894006615,0.15494048876681454,0.0,89.98521022607225,288.04845411648705,2077.611099373195,2.5001760687372347,12.324811606451158,0.0,0.0,0.0070427494894006615,0.15494048876681454
7,E02000009,0.0,1.0,0.196,11850,42300,385.0,1250.0,3.336063815,0.0,0.0,1.0,15.0,E02000009,298000,96.06,0.010410160316468874,123.36039975015615,440.34978138663337,10.65254236503437,3102.2277743077243,12.604848765487542,4.007911721840516,13.012700395586092,0.0,0.0,0.010410160316468874,0.1561524047470331,0.010410160316468874,123.36039975015615,440.34978138663337,3102.2277743077243,4.007911721840516,13.012700395586092,0.0,0.0,0.010410160316468874,0.1561524047470331
8,E02000010,0.0,0.0,0.174,9141,40000,285.0,1750.0,6.075675371,0.0,0.0,0.0,9.0,E02000010,300000,112.12,0.0,81.52871922939707,356.76061362825544,10.596634733096073,2675.7046022119157,12.611537753638338,2.54191937210132,15.608276846236175,0.0,0.0,0.0,0.08027113806635747,0.0,81.52871922939707,356.76061362825544,2675.7046022119157,2.54191937210132,15.608276846236175,0.0,0.0,0.0,0.08027113806635747
9,E02000011,0.0,0.0,0.195,7014,45000,300.0,4000.0,10.08453037,0.0,0.0,1.0,15.0,E02000011,327000,159.39,0.0,44.00527009222662,282.32636928289105,10.714417768752456,2051.571616789008,12.697715449879391,1.8821757952192737,25.095677269590315,0.0,0.0,0.006273919317397579,0.09410878976096368,0.0,44.00527009222662,282.32636928289105,2051.571616789008,1.8821757952192737,25.095677269590315,0.0,0.0,0.006273919317397579,0.09410878976096368
