address,categories/0,categoryName,cid,city,countryCode,isAdvertisement,locatedIn,location/lat,location/lng,neighborhood,permanentlyClosed,phone,placeId,plusCode,postalCode,scrapedAt,searchPageUrl,searchString,state,street,subTitle,temporarilyClosed,title,totalScore,url,website
"Homerton Rd, London E9 5QB, United Kingdom",Logistics service,Logistics service,1.24E+19,London,GB,FALSE,,51.5505987,-0.0351404,Homerton Rd,FALSE,+44 330 335 0950,ChIJk4UyQjYddkgRKHiTjMoebKw,"HX27+6W London, United Kingdom",E9 5QB,2022-06-15T19:01:01.383Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,Homerton Rd,,FALSE,24/7 InPost Locker - Wally Foster Community Centre,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+Wally+Foster+Community+Centre/@51.5505987,-0.0351404,17z/data=!3m1!4b1!4m5!3m4!1s0x48761d3642328593:0xac6c1eca8c937828!8m2!3d51.5505941!4d-0.0352384?hl=en",https://www.inpost.co.uk/
"1 Malton St, London SE18 2EH, United Kingdom",Shipping and mailing service,Shipping and mailing service,1.22E+19,London,GB,FALSE,,51.47948,0.09267,1 Malton St,FALSE,+44 330 335 0950,ChIJv0Q4Z_up2EcRFgf9FI5Dvag,"F3HV+Q3 London, United Kingdom",SE18 2EH,2022-06-15T19:01:14.433Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,1 Malton St,,FALSE,InPost Locker - Everyday Convenience Store,,"https://www.google.com/maps/place/InPost+Locker+-+Everyday+Convenience+Store/@51.47948,0.09267,17z/data=!3m1!4b1!4m5!3m4!1s0x47d8a9fb673844bf:0xa8bd438e14fd0716!8m2!3d51.47948!4d0.09267?hl=en",https://www.inpost.co.uk/
"7 Chingford Mount Rd, London E4 8SA, United Kingdom",Package locker,Package locker,2.60E+18,London,GB,FALSE,Morrisons,51.6075971,-0.0213025,7 Chingford Mount Rd,FALSE,,ChIJt4p6584fdkgRbrf7rWnMJSQ,"JX5H+2F London, United Kingdom",E4 8SA,2022-06-15T19:01:26.347Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,7 Chingford Mount Rd,,FALSE,InPost Locker,,"https://www.google.com/maps/place/InPost+Locker/@51.6075971,-0.0213025,17z/data=!3m1!4b1!4m5!3m4!1s0x48761fcee77a8ab7:0x2425cc69adfbb76e!8m2!3d51.6076009!4d-0.021245?hl=en",https://www.inpostdirect.co.uk/
"13 Staines Rd, London, Feltham TW14 0HW, United Kingdom",Logistics service,Logistics service,2.39E+18,Feltham,GB,FALSE,,51.4584972,-0.4025385,13 Staines Rd,FALSE,+44 330 335 0950,ChIJiwr9hx9zdkgR4mrqpItcMCE,"FH5W+9X Feltham, United Kingdom",TW14 0HW,2022-06-15T19:01:33.841Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,13 Staines Rd,,FALSE,24/7 InPost Locker - JET Staines Road,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+JET+Staines+Road/@51.4584972,-0.4025385,17z/data=!3m1!4b1!4m5!3m4!1s0x4876731f87fd0a8b:0x21305c8ba4ea6ae2!8m2!3d51.4584996!4d-0.4025263?hl=en",https://www.inpost.co.uk/
"Millwall Football Club, The Den, Zampa Rd, London SE16 3LN, United Kingdom",Logistics service,Logistics service,6.13E+18,London,GB,FALSE,Floor 0 · Millwall Football Club - The Den,51.48621,-0.05221,"Millwall Football Club, The Den, Zampa Rd",FALSE,+44 330 335 0950,ChIJVeeypaMDdkgR5WwwMXAZG1U,"FWPX+F4 London, United Kingdom",SE16 3LN,2022-06-15T19:01:46.279Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,"Millwall Football Club, The Den, Zampa Rd",,FALSE,InPost Locker - Millwall FC,,"https://www.google.com/maps/place/InPost+Locker+-+Millwall+FC/@51.48621,-0.05221,17z/data=!3m1!4b1!4m5!3m4!1s0x487603a3a5b2e755:0x551b197031306ce5!8m2!3d51.48621!4d-0.05221?hl=en",https://www.inpost.co.uk/
"64 Coombe Rd, Kingston upon Thames KT2 7AE, United Kingdom",Logistics service,Logistics service,1.64E+19,Kingston upon Thames,GB,FALSE,,51.4124582,-0.286415,64 Coombe Rd,FALSE,+44 330 335 0950,ChIJwZ1L1moLdkgRDzZhtG_bBuQ,"CP67+XC Kingston upon Thames, United Kingdom",KT2 7AE,2022-06-15T19:02:00.104Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,64 Coombe Rd,,FALSE,24/7 InPost Locker - Premier Express Coombe Road,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+Premier+Express+Coombe+Road/@51.4124582,-0.286415,17z/data=!3m1!4b1!4m5!3m4!1s0x48760b6ad64b9dc1:0xe406db6fb461360f!8m2!3d51.4125173!4d-0.2864226?hl=en",https://www.inpost.co.uk/
"High St, London E17 7AD, United Kingdom",Package locker,Package locker,1.31E+18,London,GB,FALSE,Lidl,51.5824397,-0.0318716,High St,FALSE,,ChIJ8eRQjzoddkgR-GACOWPyHRI,"HXJ9+X7 London, United Kingdom",E17 7AD,2022-06-15T19:02:12.661Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,High St,,FALSE,InPost Locker,4,"https://www.google.com/maps/place/InPost+Locker/@51.5824397,-0.0318716,17z/data=!3m1!4b1!4m5!3m4!1s0x48761d3a8f50e4f1:0x121df263390260f8!8m2!3d51.5824358!4d-0.0318896?hl=en",https://www.inpostdirect.co.uk/
"361 Bethnal Green Rd, London E2 0AN, United Kingdom",Logistics service,Logistics service,1.14E+19,London,GB,FALSE,,51.5270253,-0.0612358,361 Bethnal Green Rd,FALSE,+44 330 335 0950,ChIJpY1I7tkddkgRTHRACvo94Z0,"GWGQ+RG London, United Kingdom",E2 0AN,2022-06-15T19:02:21.206Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,361 Bethnal Green Rd,,FALSE,24/7 InPost Locker - TESCO SUPERSTORE Bethnal Green,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+TESCO+SUPERSTORE+Bethnal+Green/@51.5270253,-0.0612358,17z/data=!3m1!4b1!4m5!3m4!1s0x48761dd9ee488da5:0x9de13dfa0a40744c!8m2!3d51.5269431!4d-0.0612434?hl=en",https://www.inpost.co.uk/
"Crosslands Parade, Hounslow, Southall UB2 5RB, United Kingdom",Logistics service,Logistics service,4.74E+18,Southall,GB,FALSE,,51.49103,-0.37305,Crosslands Parade,FALSE,+44 330 335 0950,ChIJdwHmWRsNdkgRr3NNdAwVwEE,"FJRG+CQ Southall, United Kingdom",UB2 5RB,2022-06-15T19:02:33.300Z,"https://www.google.com/maps/search/InPost+locker+in+london/@51.5061295,-0.2324817,12z?hl=en",,,Crosslands Parade,,FALSE,24/7 InPost Locker - Costcutter Hounslow,,"https://www.google.com/maps/place/24%2F7+InPost+Locker+-+Costcutter+Hounslow/@51.49103,-0.37305,17z/data=!3m1!4b1!4m5!3m4!1s0x48760d1b59e60177:0x41c0150c744d73af!8m2!3d51.49103!4d-0.37305?hl=en",https://www.inpost.co.uk/
"The Gym London Kingsbury, 632-640 Kingsbury Rd, London NW9 9HN, United Kingdom",Shipping and mailing service,Shipping and mailing service,8.70E+18,London,GB,FALSE,,51.585064,-0.279901,"The Gym London Kingsbury, 632-640 Kingsbury Rd",FALSE,,ChIJaRlU9hERdkgR89hbn2HKsXg,"HPPC+22 London, United Kingdom",NW9 9HN,2022-06-15T19:02:47.107Z,"https://www.google.com/maps/search/amazon+locker+in+london/@51.5059575,-0.2321382,12z?hl=en",,,"The Gym London Kingsbury, 632-640 Kingsbury Rd",,FALSE,Amazon Hub Locker - sago,3,"https://www.google.com/maps/place/Amazon+Hub+Locker+-+sago/@51.585064,-0.279901,17z/data=!3m1!4b1!4m5!3m4!1s0x48761111f6541969:0x78b1ca619f5bd8f3!8m2!3d51.585064!4d-0.279901?hl=en",https://www.amazon.co.uk/ulp/add-ap-to-address-book?countryCode=GB&accessPointId=3174341&ref_=hubm_gb_gm_lkr_3174341
