,id,category,longitude,latitude,general_category,geometry,index_right,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ
0,EPyluvGfkNsgiBn6Dgq2Ig,italian,-0.0962468,51.5151374,Italian,POINT (532196.0013963652 181297.0009771498),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
1,ifVVNQ10aBG8a78oYGbE-g,italian,-0.0928426,51.5221635,Italian,POINT (532411.8322091496 182084.4751690308),555.0,E02000576,Islington 023,E09000019,Islington,E12000007,London,9388.0,8787.0,601.0,124.2,4322.0,2.0
2,HnyTN6fFxOTpig41DQARlg,italian,-0.0950046802445286,51.5136739880313,Italian,POINT (532286.4198643006 181136.5078212079),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
3,7y-6yaVTFhXTbqIfnbvRQg,italian,-0.090803,51.5155402,Italian,POINT (532572.5407937334 181351.6336057811),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
4,vsKa-KYWNeGo2rREfXrwow,italian,-0.089911,51.513682,Italian,POINT (532639.8234869351 181146.61122629),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
5,QtmMzI_w3_EN3lpK2AOLBg,italian,-0.094757080078125,51.513870548724,Italian,POINT (532303.0306288642 181158.8132117104),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
6,TJSbhFlKXqFDvuKukuf-nw,italian,-0.09782,51.52091,Italian,POINT (532070.1612110466 181936.0939588274),554.0,E02000575,Islington 022,E09000019,Islington,E12000007,London,11889.0,10418.0,1471.0,127.9,5583.0,1.9
7,Hba1NgcMQItE_n8rDiValQ,italian,-0.0996155,51.5192604,Italian,POINT (531950.3634856986 181749.4166133745),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
8,APfvqtdabNRFG_sXhAzf8w,italian,-0.100505001842976,51.513542175293,Italian,POINT (531905.1582258126 181111.9295697178),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
9,2pDU7LE3gTpDWGsoKuGwMA,italian,-0.1003585,51.5190086,Italian,POINT (531899.5433229788 181720.07721605),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
10,Kuy1nSkxH4uRNQXvMdzDDQ,italian,-0.101942,51.518494,Italian,POINT (531791.168630876 181660.0012846432),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
11,8O9OVXHScu7lXQNO7q8sBg,italian,-0.0879026067459563,51.5109736667965,Italian,POINT (532787.0455570748 180849.0757970327),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
12,Jd3faaXPY8Rr1OxgMmHXsw,italian,-0.098604,51.512469,Italian,POINT (532040.1611163638 180996.0145193189),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
13,IEg85XZBFZXWevd5hPM7JA,italian,-0.0956650003790855,51.5152282714844,Italian,POINT (532236.1055360491 181308.1564689018),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
14,HXB42ggGPHxIm75Zx0m5eg,italian,-0.0995609065429335,51.5126949103965,Italian,POINT (531973.1116134905 181019.4117886413),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
15,9YaI04_jRuzSSpz9k9ruuA,italian,-0.089664,51.51917,Italian,POINT (532641.0300767852 181757.340770716),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
16,5yHgv-_48HVwkF90fzRHvA,italian,-0.1041498,51.5125084,Italian,POINT (531655.2396315667 180990.4125988285),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
17,_Q3CiOo0gWTD8nD_US_9CA,italian,-0.10028,51.513414,Italian,POINT (531921.1401294142 181098.0813221284),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
18,Hrxt-kjyxzhtNrikKf6oSg,italian,-0.103662,51.516994,Italian,POINT (531676.1608747909 181490.1026117947),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
19,m0gvLU-uPcxFhH1VMCOjzg,italian,-0.0883288,51.5135454,Italian,POINT (532750.001758274 181134.2874859791),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
20,M5U_bhEd5J5isIQ5u9UsLQ,italian,-0.083632884655799,51.5189616956944,Italian,POINT (533060.0571494458 181745.1173677328),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
21,4hvhwtcS2XeXiJ3xyXxPNw,italian,-0.093161,51.5135556,Italian,POINT (532414.6873591265 181126.6743588183),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
22,lx8m7hRv-t5s7_T634xnUw,italian,-0.0938864653524936,51.5118944324392,Italian,POINT (532369.1619717849 180940.6361586255),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
23,DGReEvlnkBiZ4nVY3qfcGg,italian,-0.106365156250035,51.5118607745811,Italian,POINT (531503.3856307707 180914.4147465312),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
24,g1XqTGb8_USFz1HUQlKYaQ,italian,-0.1018052,51.5200671,Italian,POINT (531796.1217312054 181835.1813000815),554.0,E02000575,Islington 022,E09000019,Islington,E12000007,London,11889.0,10418.0,1471.0,127.9,5583.0,1.9
25,WaBCkWzqMtNB1wOgWTTy_A,italian,-0.097271,51.521775,Italian,POINT (532105.74651273 182033.2749581714),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
26,_SNWTN8zQj1Zw4_ASki8WQ,italian,-0.0936461,51.5238264,Italian,POINT (532351.2736826418 182267.9424442642),555.0,E02000576,Islington 023,E09000019,Islington,E12000007,London,9388.0,8787.0,601.0,124.2,4322.0,2.0
27,d2PaRNm3SPeXDjMAmun7xQ,italian,-0.10214920133657,51.520067621642,Italian,POINT (531772.2548819307 181834.6202847866),554.0,E02000575,Islington 022,E09000019,Islington,E12000007,London,11889.0,10418.0,1471.0,127.9,5583.0,1.9
28,VWxT2_7782C2tkmRI1Zi9w,italian,-0.0793951,51.51125,Italian,POINT (533376.569845026 180895.2629648192),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
29,pYde5-Jt54kjE2ybRi2xNQ,italian,-0.0837101563811302,51.5187595466179,Italian,POINT (533055.2849359896 181722.4973963022),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
30,yPCnscnH7no41x7PXEwjVg,italian,-0.103961,51.520041,Italian,POINT (531646.6367133337 181828.4014274594),554.0,E02000575,Islington 022,E09000019,Islington,E12000007,London,11889.0,10418.0,1471.0,127.9,5583.0,1.9
31,fYQXciEc6YVzUtla0zwY1A,italian,-0.10060931288611,51.5066039673511,Italian,POINT (531917.9447986204 180340.1916589904),778.0,E02000808,Southwark 002,E09000028,Southwark,E12000007,London,9102.0,8312.0,790.0,87.0,4167.0,2.0
32,j3925w9Q_hWRl1n3CLuWQA,italian,-0.0923633,51.5218457,Italian,POINT (532446.0037658177 182050.0015442669),555.0,E02000576,Islington 023,E09000019,Islington,E12000007,London,9388.0,8787.0,601.0,124.2,4322.0,2.0
33,gcEQjfZA45TmkZ-TKIkL6g,italian,-0.083804,51.512454,Italian,POINT (533067.1351838075 181021.1316797993),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
34,qB9EM2xne51GksoKmGVdyQ,italian,-0.083998,51.509885,Italian,POINT (533061.153430535 180735.0991059667),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
35,dbJJs2c9m1UquFNuKB7Ong,italian,-0.0910932,51.5135207,Italian,POINT (532558.2640230173 181126.5338579534),0.0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375.0,7187.0,188.0,25.5,4385.0,1.6
