,MSOA11CD,Count
0,E02000001,121.0
1,E02000002,20.0
2,E02000003,18.0
3,E02000004,14.0
4,E02000005,11.0
5,E02000007,17.0
6,E02000008,22.0
7,E02000009,15.0
8,E02000010,9.0
9,E02000011,15.0
10,E02000012,13.0
11,E02000013,13.0
12,E02000014,18.0
13,E02000015,19.0
14,E02000016,20.0
15,E02000017,8.0
16,E02000018,17.0
17,E02000019,19.0
18,E02000020,35.0
19,E02000021,20.0
20,E02000022,11.0
21,E02000023,22.0
22,E02000024,38.0
23,E02000025,18.0
24,E02000026,11.0
25,E02000027,22.0
26,E02000028,26.0
27,E02000029,20.0
28,E02000030,47.0
29,E02000031,29.0
30,E02000032,15.0
31,E02000033,24.0
32,E02000034,16.0
33,E02000035,16.0
34,E02000036,19.0
35,E02000037,23.0
36,E02000038,27.0
37,E02000039,34.0
38,E02000040,39.0
39,E02000041,29.0
40,E02000042,24.0
41,E02000043,12.0
42,E02000044,18.0
43,E02000045,21.0
44,E02000046,18.0
45,E02000047,21.0
46,E02000048,18.0
47,E02000049,15.0
48,E02000050,26.0
49,E02000051,30.0
50,E02000052,13.0
51,E02000053,27.0
52,E02000054,18.0
53,E02000055,24.0
54,E02000056,51.0
55,E02000057,16.0
56,E02000058,26.0
57,E02000059,15.0
58,E02000060,17.0
59,E02000061,33.0
60,E02000062,39.0
61,E02000063,16.0
62,E02000064,18.0
63,E02000065,13.0
64,E02000066,28.0
65,E02000067,26.0
66,E02000068,31.0
67,E02000069,24.0
68,E02000070,25.0
69,E02000071,10.0
70,E02000072,31.0
71,E02000073,28.0
72,E02000074,11.0
73,E02000075,18.0
74,E02000077,13.0
75,E02000078,19.0
76,E02000079,26.0
77,E02000080,27.0
78,E02000081,29.0
79,E02000082,22.0
80,E02000083,34.0
81,E02000084,35.0
82,E02000085,21.0
83,E02000086,11.0
84,E02000087,29.0
85,E02000088,21.0
86,E02000089,10.0
87,E02000090,30.0
88,E02000091,39.0
89,E02000092,30.0
90,E02000093,14.0
91,E02000094,17.0
92,E02000095,23.0
93,E02000096,13.0
94,E02000097,10.0
95,E02000098,18.0
96,E02000099,14.0
97,E02000100,18.0
98,E02000101,18.0
99,E02000102,8.0
100,E02000103,30.0
101,E02000104,19.0
102,E02000105,19.0
103,E02000106,27.0
104,E02000107,17.0
105,E02000108,5.0
106,E02000109,24.0
107,E02000110,10.0
108,E02000111,21.0
109,E02000112,22.0
110,E02000113,31.0
111,E02000114,13.0
112,E02000115,13.0
113,E02000116,24.0
114,E02000117,16.0
115,E02000118,10.0
116,E02000119,44.0
117,E02000120,10.0
118,E02000121,19.0
119,E02000122,15.0
120,E02000123,23.0
121,E02000124,22.0
122,E02000125,12.0
123,E02000126,11.0
124,E02000127,19.0
125,E02000128,23.0
126,E02000130,23.0
127,E02000131,34.0
128,E02000132,40.0
129,E02000133,26.0
130,E02000134,31.0
131,E02000135,19.0
132,E02000136,37.0
133,E02000137,38.0
134,E02000138,26.0
135,E02000139,19.0
136,E02000140,26.0
137,E02000141,19.0
138,E02000142,22.0
139,E02000144,40.0
140,E02000145,30.0
141,E02000146,18.0
142,E02000147,35.0
143,E02000148,30.0
144,E02000149,34.0
145,E02000150,31.0
146,E02000151,23.0
147,E02000152,30.0
148,E02000153,24.0
149,E02000154,25.0
150,E02000155,29.0
151,E02000156,30.0
152,E02000157,29.0
153,E02000158,29.0
154,E02000159,45.0
155,E02000160,41.0
156,E02000161,30.0
157,E02000162,43.0
158,E02000163,42.0
159,E02000165,25.0
160,E02000166,27.0
161,E02000167,16.0
162,E02000168,20.0
163,E02000169,7.0
164,E02000170,20.0
165,E02000171,12.0
166,E02000172,8.0
167,E02000173,22.0
168,E02000174,11.0
169,E02000175,15.0
170,E02000176,9.0
171,E02000177,21.0
172,E02000178,11.0
173,E02000179,12.0
174,E02000180,18.0
175,E02000181,8.0
176,E02000182,14.0
177,E02000183,9.0
178,E02000184,23.0
179,E02000185,16.0
180,E02000186,32.0
181,E02000187,17.0
182,E02000188,14.0
183,E02000189,10.0
184,E02000190,4.0
185,E02000191,16.0
186,E02000192,15.0
187,E02000193,44.0
188,E02000194,31.0
189,E02000195,21.0
190,E02000196,15.0
191,E02000197,10.0
192,E02000198,19.0
193,E02000199,6.0
194,E02000200,27.0
195,E02000201,13.0
196,E02000202,9.0
197,E02000203,20.0
198,E02000204,17.0
199,E02000206,16.0
200,E02000207,21.0
201,E02000208,12.0
202,E02000209,18.0
203,E02000210,9.0
204,E02000211,20.0
205,E02000212,19.0
206,E02000213,27.0
207,E02000214,15.0
208,E02000215,24.0
209,E02000216,13.0
210,E02000217,21.0
211,E02000218,21.0
212,E02000219,35.0
213,E02000220,52.0
214,E02000221,38.0
215,E02000222,18.0
216,E02000223,17.0
217,E02000224,15.0
218,E02000225,32.0
219,E02000226,32.0
220,E02000227,51.0
221,E02000228,27.0
222,E02000229,21.0
223,E02000230,34.0
224,E02000231,37.0
225,E02000232,17.0
226,E02000233,19.0
227,E02000234,48.0
228,E02000235,25.0
229,E02000236,24.0
230,E02000237,47.0
231,E02000238,20.0
232,E02000239,13.0
233,E02000240,28.0
234,E02000241,27.0
235,E02000242,8.0
236,E02000243,20.0
237,E02000244,19.0
238,E02000245,9.0
239,E02000246,17.0
240,E02000247,26.0
241,E02000248,31.0
242,E02000249,23.0
243,E02000250,12.0
244,E02000251,9.0
245,E02000252,71.0
246,E02000253,29.0
247,E02000254,17.0
248,E02000255,23.0
249,E02000256,26.0
250,E02000257,30.0
251,E02000258,19.0
252,E02000259,15.0
253,E02000260,25.0
254,E02000261,28.0
255,E02000262,11.0
256,E02000263,6.0
257,E02000264,18.0
258,E02000265,18.0
259,E02000266,38.0
260,E02000267,10.0
261,E02000268,10.0
262,E02000269,9.0
263,E02000270,19.0
264,E02000271,11.0
265,E02000272,8.0
266,E02000274,11.0
267,E02000275,12.0
268,E02000276,9.0
269,E02000277,6.0
270,E02000278,12.0
271,E02000279,17.0
272,E02000280,37.0
273,E02000281,17.0
274,E02000282,20.0
275,E02000283,14.0
276,E02000284,28.0
277,E02000285,17.0
278,E02000286,18.0
279,E02000287,28.0
280,E02000288,31.0
281,E02000289,14.0
282,E02000290,22.0
283,E02000291,31.0
284,E02000292,21.0
285,E02000293,14.0
286,E02000294,13.0
287,E02000295,20.0
288,E02000296,31.0
289,E02000297,23.0
290,E02000298,10.0
291,E02000299,12.0
292,E02000300,8.0
293,E02000301,16.0
294,E02000302,8.0
295,E02000303,13.0
296,E02000304,12.0
297,E02000305,13.0
298,E02000306,19.0
299,E02000307,10.0
300,E02000308,25.0
301,E02000309,19.0
302,E02000311,22.0
303,E02000312,21.0
304,E02000313,7.0
305,E02000314,49.0
306,E02000315,25.0
307,E02000316,36.0
308,E02000317,16.0
309,E02000318,17.0
310,E02000319,26.0
311,E02000320,20.0
312,E02000321,10.0
313,E02000323,18.0
314,E02000324,11.0
315,E02000326,15.0
316,E02000327,30.0
317,E02000328,16.0
318,E02000329,18.0
319,E02000331,20.0
320,E02000332,18.0
321,E02000333,22.0
322,E02000334,19.0
323,E02000335,15.0
324,E02000337,25.0
325,E02000339,21.0
326,E02000340,39.0
327,E02000341,29.0
328,E02000342,13.0
329,E02000343,10.0
330,E02000344,21.0
331,E02000345,13.0
332,E02000346,21.0
333,E02000347,6.0
334,E02000348,7.0
335,E02000350,9.0
336,E02000351,11.0
337,E02000352,11.0
338,E02000353,14.0
339,E02000354,19.0
340,E02000355,17.0
341,E02000356,10.0
342,E02000357,11.0
343,E02000358,13.0
344,E02000359,8.0
345,E02000360,18.0
346,E02000361,25.0
347,E02000362,30.0
348,E02000363,16.0
349,E02000364,17.0
350,E02000365,28.0
351,E02000366,16.0
352,E02000367,22.0
353,E02000368,16.0
354,E02000369,12.0
355,E02000370,16.0
356,E02000371,44.0
357,E02000372,40.0
358,E02000373,7.0
359,E02000374,11.0
360,E02000375,23.0
361,E02000376,10.0
362,E02000377,13.0
363,E02000378,5.0
364,E02000379,10.0
365,E02000380,5.0
366,E02000381,3.0
367,E02000382,15.0
368,E02000383,11.0
369,E02000384,25.0
370,E02000385,3.0
371,E02000386,7.0
372,E02000387,7.0
373,E02000388,10.0
374,E02000389,8.0
375,E02000390,5.0
376,E02000391,21.0
377,E02000392,10.0
378,E02000393,4.0
379,E02000394,13.0
380,E02000395,14.0
381,E02000396,12.0
382,E02000397,4.0
383,E02000398,13.0
384,E02000400,18.0
385,E02000401,14.0
386,E02000402,16.0
387,E02000403,14.0
388,E02000404,12.0
389,E02000405,22.0
390,E02000406,6.0
391,E02000407,16.0
392,E02000408,11.0
393,E02000409,8.0
394,E02000410,8.0
395,E02000411,25.0
396,E02000412,18.0
397,E02000413,8.0
398,E02000414,7.0
399,E02000415,13.0
400,E02000416,8.0
401,E02000417,22.0
402,E02000418,7.0
403,E02000419,13.0
404,E02000420,15.0
405,E02000421,17.0
406,E02000422,12.0
407,E02000423,11.0
408,E02000424,8.0
409,E02000425,9.0
410,E02000426,29.0
411,E02000427,9.0
412,E02000428,9.0
413,E02000429,9.0
414,E02000430,16.0
415,E02000431,12.0
416,E02000432,4.0
417,E02000433,34.0
418,E02000434,13.0
419,E02000435,6.0
420,E02000436,12.0
421,E02000437,18.0
422,E02000438,23.0
423,E02000439,12.0
424,E02000440,13.0
425,E02000441,20.0
426,E02000442,16.0
427,E02000443,7.0
428,E02000444,16.0
429,E02000445,19.0
430,E02000447,19.0
431,E02000448,14.0
432,E02000449,6.0
433,E02000451,14.0
434,E02000452,11.0
435,E02000453,12.0
436,E02000454,17.0
437,E02000455,27.0
438,E02000456,11.0
439,E02000457,7.0
440,E02000459,15.0
441,E02000460,13.0
442,E02000461,21.0
443,E02000462,11.0
444,E02000463,4.0
445,E02000464,28.0
446,E02000465,39.0
447,E02000466,34.0
448,E02000467,17.0
449,E02000468,22.0
450,E02000469,16.0
451,E02000470,35.0
452,E02000471,13.0
453,E02000472,17.0
454,E02000473,19.0
455,E02000474,23.0
456,E02000475,23.0
457,E02000476,35.0
458,E02000477,21.0
459,E02000478,16.0
460,E02000479,22.0
461,E02000480,35.0
462,E02000481,25.0
463,E02000482,31.0
464,E02000483,24.0
465,E02000484,10.0
466,E02000485,23.0
467,E02000486,10.0
468,E02000487,17.0
469,E02000488,14.0
470,E02000489,19.0
471,E02000490,16.0
472,E02000491,40.0
473,E02000492,20.0
474,E02000493,20.0
475,E02000494,19.0
476,E02000495,35.0
477,E02000496,37.0
478,E02000497,24.0
479,E02000498,27.0
480,E02000499,16.0
481,E02000500,23.0
482,E02000501,12.0
483,E02000502,14.0
484,E02000503,9.0
485,E02000504,15.0
486,E02000506,25.0
487,E02000507,17.0
488,E02000508,20.0
489,E02000509,0.0
490,E02000510,27.0
491,E02000511,23.0
492,E02000512,19.0
493,E02000513,19.0
494,E02000514,12.0
495,E02000515,17.0
496,E02000516,9.0
497,E02000517,24.0
498,E02000518,26.0
499,E02000519,22.0
500,E02000520,37.0
501,E02000521,24.0
502,E02000522,20.0
503,E02000523,42.0
504,E02000524,67.0
505,E02000525,25.0
506,E02000526,19.0
507,E02000528,36.0
508,E02000529,8.0
509,E02000530,30.0
510,E02000531,35.0
511,E02000532,19.0
512,E02000533,6.0
513,E02000534,36.0
514,E02000535,23.0
515,E02000536,28.0
516,E02000537,17.0
517,E02000538,20.0
518,E02000539,38.0
519,E02000540,26.0
520,E02000541,19.0
521,E02000542,23.0
522,E02000543,30.0
523,E02000544,17.0
524,E02000545,20.0
525,E02000546,18.0
526,E02000547,32.0
527,E02000548,19.0
528,E02000549,34.0
529,E02000550,15.0
530,E02000551,31.0
531,E02000552,21.0
532,E02000553,26.0
533,E02000554,16.0
534,E02000555,13.0
535,E02000556,12.0
536,E02000557,30.0
537,E02000558,10.0
538,E02000559,6.0
539,E02000560,8.0
540,E02000561,8.0
541,E02000562,14.0
542,E02000563,14.0
543,E02000564,17.0
544,E02000565,16.0
545,E02000566,10.0
546,E02000567,20.0
547,E02000568,20.0
548,E02000569,16.0
549,E02000570,9.0
550,E02000571,10.0
551,E02000572,15.0
552,E02000573,18.0
553,E02000574,17.0
554,E02000575,35.0
555,E02000576,20.0
556,E02000577,16.0
557,E02000578,11.0
558,E02000579,11.0
559,E02000580,9.0
560,E02000581,7.0
561,E02000582,14.0
562,E02000583,11.0
563,E02000584,15.0
564,E02000585,15.0
565,E02000586,13.0
566,E02000587,10.0
567,E02000588,15.0
568,E02000589,5.0
569,E02000590,15.0
570,E02000591,8.0
571,E02000592,20.0
572,E02000593,11.0
573,E02000594,19.0
574,E02000595,22.0
575,E02000596,10.0
576,E02000597,12.0
577,E02000598,25.0
578,E02000599,33.0
579,E02000600,20.0
580,E02000601,11.0
581,E02000602,21.0
582,E02000603,17.0
583,E02000604,15.0
584,E02000605,12.0
585,E02000606,58.0
586,E02000607,14.0
587,E02000608,16.0
588,E02000609,19.0
589,E02000610,13.0
590,E02000611,15.0
591,E02000612,14.0
592,E02000613,16.0
593,E02000614,20.0
594,E02000615,15.0
595,E02000616,11.0
596,E02000617,34.0
597,E02000619,11.0
598,E02000620,22.0
599,E02000621,21.0
600,E02000622,21.0
601,E02000623,9.0
602,E02000624,7.0
603,E02000625,14.0
604,E02000626,7.0
605,E02000627,10.0
606,E02000628,23.0
607,E02000629,12.0
608,E02000630,23.0
609,E02000631,23.0
610,E02000632,6.0
611,E02000633,26.0
612,E02000634,13.0
613,E02000635,26.0
614,E02000636,10.0
615,E02000637,7.0
616,E02000638,10.0
617,E02000639,16.0
618,E02000640,16.0
619,E02000641,13.0
620,E02000642,23.0
621,E02000643,17.0
622,E02000644,15.0
623,E02000645,22.0
624,E02000646,15.0
625,E02000647,20.0
626,E02000648,16.0
627,E02000649,27.0
628,E02000650,10.0
629,E02000651,16.0
630,E02000652,5.0
631,E02000653,18.0
632,E02000654,11.0
633,E02000655,9.0
634,E02000657,22.0
635,E02000658,12.0
636,E02000659,20.0
637,E02000660,14.0
638,E02000661,23.0
639,E02000662,16.0
640,E02000663,15.0
641,E02000664,42.0
642,E02000665,16.0
643,E02000666,25.0
644,E02000667,10.0
645,E02000668,11.0
646,E02000669,14.0
647,E02000670,10.0
648,E02000671,18.0
649,E02000672,37.0
650,E02000673,21.0
651,E02000674,17.0
652,E02000675,26.0
653,E02000676,7.0
654,E02000677,10.0
655,E02000678,10.0
656,E02000679,16.0
657,E02000680,22.0
658,E02000681,19.0
659,E02000682,22.0
660,E02000683,20.0
661,E02000685,22.0
662,E02000686,20.0
663,E02000687,17.0
664,E02000689,12.0
665,E02000690,20.0
666,E02000691,19.0
667,E02000692,18.0
668,E02000693,12.0
669,E02000694,12.0
670,E02000695,4.0
671,E02000696,11.0
672,E02000697,26.0
673,E02000698,21.0
674,E02000699,11.0
675,E02000700,8.0
676,E02000701,20.0
677,E02000702,26.0
678,E02000703,20.0
679,E02000704,32.0
680,E02000705,17.0
681,E02000706,16.0
682,E02000707,20.0
683,E02000708,15.0
684,E02000709,20.0
