,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,geometry,Country,MSOA,Adult HE 2011 Quintile,Population,Graduates,Adult HE Rate
0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375,7187,188,25.5,4385,1.6,"MULTIPOLYGON (((531667.624000648 180534.9919998788, 531647.1820006385 180532.9339998972, 531626.6750000012 180538.9829992988, 531667.624000648 180534.9919998788)), ((532135.1449995581 182198.1189997084, 532158.2499994175 182151.0620004619, 532252.8720000718 182179.3099995591, 532293.0679996209 182068.4229994913, 532310.0909994062 182003.6370000144, 532419.5919999853 181998.3050003235, 532435.792000209 182003.3199997413, 532445.768999838 181957.8709996713, 532572.3250001575 181938.8690005122, 532634.4999997115 181926.0309998741, 532619.1410004619 181847.1879993166, 532746.8130006497 181786.8909999972, 532883.5000003815 181715.3960006091, 532946.0649993871 181894.8270006203, 533078.8300003209 181840.528999335, 533195.2989997281 181970.8959993275, 533204.6680002122 182000.04099932, 533230.4999998312 182082.452999891, 533410.6879994968 182037.860000055, 533352.0000000715 181739.7339994535, 533443.0140000484 181755.4900003016, 533460.3609993781 181669.5029997256, 533499.0629995903 181582.4060007106, 533604.2440004931 181418.1289995185, 533610.9739996559 181410.9680002428, 533743.6879999425 181261.3279993156, 533782.5770006106 181161.6229993391, 533803.1739996833 181053.4319997935, 533837.9379996822 180857.8589994769, 533842.313 180789.3129995363, 533807.9460001618 180767.770000356, 533649.0630000113 180733.8589998766, 533602.4380001571 180815.1730005538, 533551.1940003284 180812.7969995816, 533556.3129996 180778.0000003481, 533483.8749993813 180758.2030001503, 533420.1249998853 180691.7810000984, 533403.3750004349 180649.859000101, 533434.1250003271 180623.1719995275, 533395.0059999825 180515.2389996191, 533385.3800005787 180516.5410006638, 533382.0170002755 180510.6710002916, 533236.6999997393 180573.300000645, 532916.8110002668 180594.597999451, 532643.1000005581 180624.6009996747, 532474.1890001312 180677.00499931, 532274.5999997109 180742.3000002278, 532279.1000005718 180789.7999995703, 532217.0000001934 180749.4000003081, 532016.011000304 180800.7990006378, 531625.6250000399 180797.9990002619, 531145.1269999684 180782.102000331, 531147.4380003131 180882.1560005356, 531074.6880005331 180990.3439993666, 531127.9380004165 181049.4990002919, 531112.3130001031 181104.2969994363, 531172.2330006715 181124.6380003069, 531133.7499994325 181278.9849996472, 530966.688 181596.7340006913, 531158.5380005196 181603.5470004563, 531186.627999839 181599.8960005581, 531274.9780006865 181581.0839996941, 531410.6650003869 181576.1119994969, 531521.6440003252 181639.84899973, 531554.8750003231 181659.2809997222, 531627.8189998303 181695.68599957, 531796.3750000375 181784.4690005275, 532022.3740007018 181893.4689996544, 532082.8760004519 181911.7809997838, 532105.0919994046 182011.2300001203, 532089.2640000955 182076.9850003913, 532071.3019994741 182159.5859999775, 532135.1449995581 182198.1189997084)))",England,E02000001,5,6755,4618,0.684
1,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,6775,6724,51,31.3,2713,2.5,"POLYGON ((548881.56299972 190845.2650004694, 548881.1249993898 190802.5159999193, 549000.7119995169 190873.4549996681, 549089.4380004359 190714.0619999625, 549084.1900001952 190584.3900003089, 549071.7740006059 190315.8129997605, 549116.499999782 190074.7660002875, 549120.9660003966 189772.2940005487, 548464.374999888 189672.687000243, 548481.9379998225 189556.8009995943, 548466.0000005197 189262.999999589, 548461.9999994477 189131.9999999664, 548451.999999908 189024.7170000667, 548443.9000002181 188953.81800009, 548344.0110005771 188916.1409995275, 548357.8199996081 188845.1360004688, 548397.1439997349 188848.7270002602, 548394.0949996812 188776.6489999365, 548234.8969996495 188749.5360000961, 548114.1410000602 188727.9989998834, 548079.0000001197 188930.0000004716, 548044.61400043 188924.1549993935, 548043.9629995864 188793.3370003039, 548058.4660000008 188751.7040003028, 547960.3000001193 188743.2409993841, 547804.3600000493 188626.83, 547778.2599999318 188711.1169996795, 547735.4379999547 188840.7660005632, 547770.700000305 188886.7369993962, 547921.6220003936 188943.1919994072, 547882.6099997448 189049.428999929, 547856.8130005698 189093.6869998878, 547813.7450004244 189096.4809999815, 547514.5630004652 189119.702999856, 547515.1019994349 189127.6050003602, 547533.084000279 189227.0539999962, 547536.8750001868 189301.0160002609, 547510.0630003583 189373.9060003538, 547482.063000391 189374.0939999105, 547432.9890002419 189612.0540004884, 547412.1879996035 189680.6559998944, 547519.6500005244 189711.3809998776, 547729.3000000753 189779.1699996771, 547618.1880001703 190059.8910001086, 547865.0619998819 190258.0619995982, 547973.4489997709 190348.1889999132, 548453.8130000965 190810.1250003661, 548767.3750003863 191138.984, 548877.6879996628 191097.3289998103, 548845.6879998797 190846.7809999952, 548881.56299972 190845.2650004694))",England,E02000002,2,5024,914,0.182
2,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,10045,10033,12,46.9,3834,2.6,"POLYGON ((549102.4379997085 189324.6249996283, 548954.5000005405 189063.2029994089, 548889.6929994213 189065.7499996877, 548874.1880004683 188496.1869994283, 548952.4999998927 188492.2649994855, 548954.418999953 188246.3099995795, 548946.4380004317 188214.1560005828, 549019.0629997355 188228.2500003052, 549051.6879998336 187899.8119995499, 549085.601000539 187836.7239999264, 548972.6640003687 187816.6069995444, 548871.0630005499 187799.0159997981, 548880.2770005417 187766.342000533, 548881.1880002355 187727.4369995006, 548919.2750003502 187717.8010000747, 549019.5000003433 187715.0310000151, 549057.8669994486 187664.7559993876, 549099.6340004054 187656.0759994263, 549057.4410006183 187578.5279996943, 548997.8240005677 187577.1410005915, 549009.8920004414 187528.0830003496, 548956.7449995237 187476.05299991, 548910.982000418 187463.2769993919, 548895.7630001749 187495.5999994448, 548836.1979997761 187478.9519995627, 548849.3900000089 187412.7470000634, 548884.3099996691 187278.5390005549, 548798.8430004335 187271.89, 548754.8509999749 187368.3510005791, 548587.0120003249 187431.986999995, 548651.1710004942 187581.57499951, 548410.3810001172 187605.9999997022, 548307.4570002862 187596.5829994109, 548205.4259997406 187516.9849997025, 548113.2500002558 187469.0000003295, 547828.7179998137 187450.8260001356, 547706.5310000849 187444.4130002122, 547682.875000393 187443.1719996989, 547704.2609995621 187598.0619996287, 547699.5649995612 187618.602999768, 547700.9310002712 187707.6660000234, 547721.5389999859 187758.9639996907, 547746.4520002762 187885.6600004564, 547715.1249999009 187914.5310002561, 547700.2500002393 188007.6870005834, 547764.8239999617 188024.1069998766, 547817.9380005474 188037.5940002736, 547767.6250000302 188214.7340002225, 547701.8099997946 188170.0989996218, 547662.6399996952 188271.8949996975, 547656.5860002771 188376.2150000857, 547655.1189994981 188431.3920002482, 547642.3750004006 188528.6870005799, 547696.9989999626 188556.9049998718, 547804.360000447 188626.8300004261, 547960.3000000294 188743.240999404, 548058.4659998418 188751.704000554, 548043.9630002857 188793.3369998597, 548044.6140004704 188924.1550003829, 548079.0000001 188929.9999997822, 548114.1410004682 188727.999000445, 548234.8970002348 188749.5360002618, 548394.0949999748 188776.6489997646, 548397.1440001136 188848.7269994373, 548357.820000132 188845.1360004757, 548344.0110002081 188916.1410005297, 548443.8999996623 188953.817999399, 548451.9999996609 189024.7169998263, 548462.0000003999 189132.0000002079, 548466.0000004454 189263.0000001375, 548481.9380006101 189556.8009994577, 548464.3750003878 189672.6869998596, 549120.9659995994 189772.294, 549120.7719995042 189640.2440004179, 549102.4379997085 189324.6249996283))",England,E02000003,3,7798,1829,0.235
3,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,6182,5937,245,24.8,2318,2.6,"POLYGON ((551549.9979995684 187364.6370000704, 551477.9999998385 187263.6720000196, 551441.7459995439 187136.9649994716, 551397.1529995328 186966.858000431, 551528.3910002393 186852.1640005328, 551543.0050001279 186762.2769995563, 551526.6889998425 186570.8120004463, 551572.2500003626 186477.1410003052, 551554.37500006 186432.7499996763, 551619.4150000302 186429.6989994901, 551740.0000002352 186318.452999678, 551779.9379998409 186178.4220000282, 551943.8130003074 186027.6719998664, 551905.8039996402 185894.0989996381, 551764.999999999 185746.5300000077, 551670.8129999718 185446.7970002535, 551204.5109995237 185301.881, 551197.9489998261 185502.6719994685, 550485.0700005231 185441.0810004938, 550425.1770004509 185384.9950001417, 550335.7719995175 185516.5519994693, 550247.1069996419 185658.4899994832, 550200.732000423 185624.8450003446, 550239.0380000651 185744.4270003598, 550531.5119995902 185756.3949997361, 550406.2219995891 185898.1099994877, 550272.8480003013 185953.0749995017, 550244.1370002478 185994.0189998823, 550170.9999998846 185971.0010001046, 550134.6830001647 185957.3029995152, 550106.5079999679 185984.5100002746, 550120.9550001551 186019.7779997651, 550075.9689995953 186039.4500000573, 550100.0000000839 186064.9999995501, 550064.5789996926 186096.3640000521, 550083.7299998382 186125.5620004093, 550141.2139995326 186101.6499999068, 550140.015000059 186225.428999606, 550167.075000016 186262.3760000093, 550299.4349998268 186255.2609999977, 550295.0000001705 186375.0000002648, 550324.1060004483 186374.3180005151, 550350.3569998238 186269.7090000227, 550380.5240005278 186429.9549997576, 550414.1019998182 186480.9569996372, 550429.2400004385 186734.0630003277, 550413.7209994661 186968.5780000512, 550410.9730004966 187021.3199995217, 550392.6249997625 187189.0469999102, 550500.4170004618 187258.3089997956, 550519.0379997774 187269.9909994843, 550739.3110003525 187373.7829996212, 550978.7540001344 187347.2560000076, 551129.669000322 187363.3059995045, 551430.5630003556 187345.3040005134, 551551.5629996839 187445.156, 551549.9979995684 187364.6370000704))",England,E02000004,2,4986,891,0.179
4,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,8562,8562,0,72.1,3183,2.7,"POLYGON ((549099.6339997301 187656.076, 549161.3749999446 187625.6089998614, 549210.2919997468 187648.5879997372, 549418.6249997938 187442.4690000878, 549145.8300003012 187382.9089996442, 549138.6559999024 187195.1890001445, 549134.9619996742 186976.0649998099, 549128.6579999496 186912.5490000831, 548983.4379998874 186875.1089996113, 548970.7799996928 186589.6790002334, 548933.1230003316 186439.2420000103, 548958.3399996827 186426.830000047, 548992.2240000971 186459.4199997993, 549027.2819998901 186392.235000217, 549074.5439997794 186436.5090003982, 549156.0019998836 186429.4569996622, 549153.0109996592 186380.6369999922, 549153.8860000711 186255.1449997477, 549077.0549999222 186262.6849999772, 549026.7970000708 186159.7969999132, 548950.0000001593 186173.9999998968, 548933.8839996505 186160.0510003985, 548829.6190000786 186002.0659996919, 548787.1729998293 186018.2329997147, 548741.2930000277 185971.812, 548693.7479999956 185979.0419996505, 548675.5560001021 186019.8090000669, 548724.8880000276 186041.2289997093, 548708.1739999013 186124.9200003931, 548697.7620002781 186138.5209997901, 548802.5959998098 186261.3729995857, 548816.8740000693 186283.4220002508, 548637.0350002571 186272.0209999647, 548619.9380001815 186270.9370000752, 548479.8709999322 186262.9899999764, 548477.3969997009 186319.9669996756, 548423.0330000146 186385.497000187, 548219.5419995909 186423.9989998499, 548136.2619997454 186451.2759997619, 548171.4310001152 186545.7420002253, 548152.5699996132 186621.656000313, 548057.9509997659 186664.4920003128, 548080.905999722 186752.6119997182, 548046.4270002063 186780.7870003513, 548065.5400002879 186815.5409997558, 548166.6839997185 186868.6640000417, 548172.5979996925 186878.9640003195, 548183.7840003105 187040.4340000924, 548179.2019996787 187081.7640002782, 548201.9430004194 187084.3259999349, 548262.1250004004 187090.7659997668, 548205.4260002644 187516.9849995799, 548307.4569996457 187596.5830004204, 548410.3810000105 187606.0000000322, 548651.1710002187 187581.574999721, 548587.0119998667 187431.9869999265, 548754.8510001648 187368.3509997581, 548798.8429998137 187271.8900003765, 548884.3099996207 187278.5389996861, 548849.3899999985 187412.7469996022, 548836.1979996921 187478.9520000705, 548895.7629998734 187495.5999997856, 548910.9820001139 187463.2769996682, 548956.7449999904 187476.0530002407, 549009.8920001963 187528.0829999302, 548997.8240002074 187577.1410004197, 549057.4410003554 187578.528000245, 549099.6339997301 187656.076))",England,E02000005,2,6362,1119,0.176
5,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,8791,8672,119,50.6,3441,2.5,"POLYGON ((549819.9299998473 187080.679000022, 549950.7500003729 186961.0619997734, 550250.8860003788 187148.6100001205, 550392.6249999938 187189.0469996369, 550410.9730003816 187021.3200001282, 550413.7209998555 186968.5779998776, 550429.240000413 186734.0630000115, 550414.1020003257 186480.9570003581, 550380.5239999715 186429.9549995996, 550350.3570001525 186269.7090001958, 550324.1059999058 186374.3179998778, 550294.9999995909 186375.0000003425, 550299.4349998694 186255.2609996191, 550167.0750002061 186262.375999969, 550140.0149996162 186225.4289999134, 550141.214000191 186101.650000216, 550083.7300003829 186125.561999789, 550064.5789997709 186096.363999595, 550099.9999998538 186064.9999997974, 550075.9690002829 186039.4500002536, 550120.9549998373 186019.7780000088, 550106.507999976 185984.5100000424, 549955.3049996953 185936.1639997134, 549892.7349996204 185973.7539998768, 549899.0710002226 185885.6000001394, 549912.624999742 185841.1869998594, 549603.9999996494 185773.219, 549341.7320000404 185800.9139999824, 549285.5479996129 185796.5849995828, 549140.8859996923 185788.4740003238, 549100.9450002862 185827.8829997393, 549023.0359998889 185817.6110002804, 549001.4999999158 185872.2069997824, 549020.4409996968 185931.2719996815, 549089.6710001298 185924.6209999195, 549143.7380001182 185959.8230002448, 549039.897999707 186065.5949997868, 549052.3409998426 186131.8529999151, 549026.7969995834 186159.7970002507, 549077.054999759 186262.6849998443, 549153.8860001755 186255.1450000981, 549153.0110001911 186380.6370000034, 549156.0019998992 186429.4569997278, 549074.5440004 186436.5090000788, 549027.2820001708 186392.2349999155, 548992.2240002007 186459.4199996696, 548958.3399996135 186426.8300000131, 548933.1229995869 186439.2419996723, 548970.7800001067 186589.6790003244, 548983.4379996422 186875.108999639, 549128.6579997913 186912.5490001627, 549134.9620000365 186976.0650001016, 549138.6560002089 187195.1890000041, 549145.8300002001 187382.9089998713, 549418.6249997403 187442.469, 549547.1990001868 187336.7989999792, 549819.9299998473 187080.679000022))",England,E02000007,2,6403,1129,0.176
6,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,11569,11564,5,81.5,4591,2.5,"POLYGON ((548171.4309998999 186545.7420000825, 548136.2620001808 186451.2760000489, 548219.5419997905 186423.9990002896, 548423.0329995818 186385.4970004132, 548477.3969996457 186319.9670003783, 548479.871000051 186262.9899997142, 548619.9379999887 186270.9370002584, 548637.0350001572 186272.0209995967, 548816.8740000838 186283.421999821, 548802.5959999799 186261.3730001615, 548697.7619998003 186138.5209998033, 548708.1740004137 186124.9200000015, 548724.8879997982 186041.2290000313, 548675.5560001554 186019.8089997634, 548693.7479997789 185979.0419999395, 548741.2929999859 185971.8119997219, 548787.1729997293 186018.2329996848, 548829.6190002455 186002.0659998624, 548933.8839997479 186160.0510003585, 548950.0000003104 186173.9999999315, 549026.7970002677 186159.7969999834, 549052.3409999629 186131.8529997077, 549039.8980002055 186065.5950001107, 549143.7379999999 185959.8229995801, 549089.6709995661 185924.6210003918, 549020.4410003622 185931.2720001464, 549001.5000003924 185872.2069999733, 549023.0360002903 185817.6109997681, 549100.9450000436 185827.8829998556, 549140.8859995848 185788.4740001978, 548984.1139997174 185769.6500001892, 548824.0939996343 185757.7940000182, 548662.8750000327 185739.1869995909, 548675.8559998974 185571.9889997626, 548693.7219999835 185481.3120001641, 548640.2980000515 185526.5209998294, 548506.0879996053 185533.2830002026, 548488.8509997922 185512.4749998668, 548539.1479999126 185477.8879998412, 548515.3850003107 185410.8690003315, 548392.3649998502 185403.7229997244, 548319.0619995975 185377.8909998538, 548284.791000205 185399.3849999464, 548257.3659999149 185330.4419997054, 548187.000000019 185319.0000000069, 548068.7449997066 185455.4770001815, 548027.0210002913 185350.3510002648, 548034.5670002607 185108.0080001634, 547857.3449996146 185058.8489996344, 547797.3789998841 185285.9870002791, 547714.1420004108 185266.8549996421, 547688.7499999268 185286.3750000747, 547502.6869997344 185249.0470002524, 547475.0719999896 185265.4780002356, 547492.5509997298 185291.5870001648, 547633.8230002912 185503.7850000819, 547687.8839996196 185583.7760000017, 547796.8950000299 185747.4380003203, 547802.7869996529 185756.2869998715, 547794.3229997853 185803.3830003556, 547693.0710002453 185788.7729996088, 547602.5260002866 185781.5540003894, 547386.437999983 185739.8590000003, 547381.04 185754.8859995689, 547433.3609995906 185956.9249997979, 547556.8530003387 186206.7480000488, 547564.3789998551 186224.0630001298, 547597.9169997927 186352.1440000375, 547544.6449999532 186475.706999617, 547647.3959996352 186500.6349998183, 547682.4590003914 186457.1579998861, 547657.8990004142 186429.6929995716, 547605.5379999179 186449.0449999018, 547616.8350000789 186389.598000157, 547722.5719995967 186385.8249997316, 547715.3550001582 186514.8600000002, 547750.7769999212 186518.0950003182, 547746.9999999341 186574.0000003292, 547764.1389999079 186544.0600001596, 547828.8509996649 186545.5060003794, 547830.0800003032 186587.8140001505, 547835.0099995605 186589.880999757, 547947.9999998607 186608.9999996148, 547927.3599996272 186669.2819999785, 548046.4269999935 186780.7870003656, 548080.9060003939 186752.6120002796, 548057.9510004029 186664.4920003658, 548152.5699999789 186621.6560002731, 548171.4309998999 186545.7420000825))",England,E02000008,1,8627,1401,0.162
7,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,8395,8376,19,87.4,3212,2.6,"POLYGON ((546854.9999996728 186318.0000001412, 546805.4319996326 186233.2650002259, 546875.6460004088 186236.6780003645, 546897.8909999852 186166.1810001427, 547017.0099999942 186299.3170004144, 547097.0410000577 186238.5339997528, 547136.9249996524 186216.040000063, 547140.1950004059 186168.9069998468, 547214.3560001501 186232.1680001534, 547256.6230000972 186193.7290002545, 547296.1450001464 186216.8379998208, 547315.1079999941 186175.1780001537, 547396.3069997955 186137.6150000583, 547429.6900000019 186112.0030003273, 547433.7719995971 186043.5409999963, 547356.2619998378 186000.6189996765, 547348.2079999166 185925.9009998535, 547283.9129996067 185962.022000416, 547230.1389999419 185903.3790003192, 547243.0000002801 185836.9999999715, 547296.5290000488 185874.5370003312, 547265.3630003984 185838.9620000883, 547309.7929996449 185802.7399999073, 547294.3870002135 185772.5290001604, 547354.062000205 185761.9320004165, 547365.0010000847 185783.9999995991, 547381.0400003702 185754.8859999247, 547386.4380001983 185739.8590001241, 547602.5259999327 185781.5540000158, 547693.0710002611 185788.7729998459, 547794.3229996024 185803.3829996281, 547802.787 185756.2869997453, 547796.8950001622 185747.4380002293, 547687.8840001589 185583.7759998651, 547633.8229999929 185503.7850002979, 547492.5510003753 185291.5869997883, 547426.9539997546 185204.9310003069, 547406.321999779 185261.5490002178, 547329.1670000233 185276.3460000988, 547345.8830002 185348.500999851, 547247.9640000046 185371.0240002779, 547228.8379996854 185300.1760002697, 547033.5850000562 185348.3619998448, 546814.49599993 185402.4920004059, 546806.1870004077 185404.5149996448, 546644.1099997999 185450.024999717, 546406.9689998542 185502.462999739, 546181.6250002903 185509.6719998641, 546126.25 185664.9840001554, 546175.2269997909 185730.941000213, 546207.311999904 185774.1719997142, 546269.7880003207 185810.0089999385, 546276.0630000065 185861.1410002708, 546514.4999999369 185860.0310003304, 546615.974999656 186050.6049997894, 546705.6790004056 186165.4590003219, 546562.0050002418 186296.6199997707, 546591.1899995817 186338.5659998847, 546602.3560000563 186386.7099996931, 546801.7890004127 186356.6750002856, 546854.9999996728 186318.0000001412))",England,E02000009,2,6333,1240,0.196
8,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,8615,8615,0,76.8,3292,2.6,"POLYGON ((549618.8499997888 185517.0650002961, 549637.020999954 185476.8140002286, 549673.6880003584 185473.4690004004, 549679.9379999801 185411.4529995356, 549765.5629999094 185416.7499997889, 549786.6250000024 185265.5939997341, 549855.4660002923 185145.5480001972, 549904.3750002877 185054.8440000513, 549984.4999997831 184989.9999997186, 549987.25 184926.6260001795, 549927.762000419 184906.1689996017, 549739.9589997678 184846.8349996068, 549690.5690001313 184831.9250000764, 549556.7110001051 184796.4739997099, 549507.5009998053 184783.4939997509, 549310.6900004571 184745.3329998482, 549241.1510004802 184734.6899998122, 549182.7989995753 184726.3370001504, 549210.5500003994 184859.1870002714, 549301.1109997886 184875.2089997733, 549285.1469997298 184980.9049997272, 549319.8499998243 184990.3820003102, 549311.0530001663 185038.8829999636, 549345.9960000862 185056.9569999953, 549325.0030003955 185185.5419995378, 549371.8939995345 185194.7129998643, 549323.6580005314 185244.1520000951, 549272.4059996057 185240.2780000218, 549234.9999999078 185150.8229995968, 549265.7509996132 185069.6610004746, 549211.5279995278 185047.5759995554, 549193.4019999955 185045.8939997325, 549196.0360002613 184999.7000002901, 549156.4520001786 184979.8340004269, 549041.9990001826 185002.7599996602, 549088.1500000379 185062.3349994708, 549050.1730004982 185099.877999983, 549077.4479995033 185152.3889994686, 549036.7219997372 185188.4700001754, 549029.8960003218 185189.3799999567, 548976.3699999332 185182.3360005047, 548932.2359998788 185245.7720005134, 548903.06299993 185211.2970003593, 548804.0000001799 185231.9999996399, 548689.3569998784 185256.8549995191, 548620.4380003376 185129.0000004215, 548648.2499995111 185111.4529995891, 548633.0429996378 185083.9780003745, 548599.0630000553 185022.547000282, 548389.1880004897 185142.5939998093, 548266.999000232 184978.5939995546, 547931.5649997556 184917.6729998896, 547883.6180001072 184977.7069995524, 547857.345 185058.8489999315, 548034.5670000198 185108.0079996562, 548027.0210000635 185350.3509994788, 548068.744999831 185455.4769995813, 548186.9999995267 185319.0000002101, 548257.366000082 185330.4420000284, 548284.7909997767 185399.3850004037, 548319.0619997598 185377.8910001991, 548392.3649998013 185403.7230002812, 548515.3849995341 185410.8689998187, 548539.1480003146 185477.8879995001, 548488.8509998032 185512.4749996436, 548506.0880004175 185533.2830000459, 548640.2980002584 185526.5210000159, 548693.7219994967 185481.3119996347, 548675.8559995976 185571.9890000399, 548662.8749996482 185739.1870004695, 548824.0939999836 185757.7939996428, 548984.1140001181 185769.6499997455, 549140.8859994928 185788.47400003, 549285.548000139 185796.5849998856, 549341.7319994981 185800.9139998496, 549603.9999996823 185773.2189995527, 549618.8499997888 185517.0650002961))",England,E02000010,2,6280,1091,0.174
9,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,6187,6086,101,38.8,2289,2.7,"POLYGON ((550244.1370002538 185994.0190000118, 550272.8479997339 185953.075000451, 550406.222000305 185898.1099998499, 550531.5119997504 185756.3950002908, 550239.0380000039 185744.4269997391, 550200.7319999507 185624.8450004282, 550247.1070002007 185658.490000276, 550335.7719995768 185516.5519998614, 550425.1769996461 185384.9949997032, 550485.0699996233 185441.0810004061, 551197.9490001154 185502.6719999041, 551204.5110001477 185301.8810001792, 551670.8130000001 185446.7970001404, 551422.4380001927 185230.1560000793, 551297.9370004096 185055.0619995055, 551246.6260001503 184889.6089995285, 551242.438999738 184701.751000512, 551202.1649999808 184608.5550003677, 550904.6200001335 184378.3819999883, 550827.960000362 184430.9739995775, 550706.8020003346 184457.9329999135, 550588.53800044 184472.6110005037, 550553.1650002473 184443.3900004482, 550474.3749998353 184391.9639996134, 550478.7430003628 184434.552000105, 550426.3670002999 184466.6700002723, 550442.0530000579 184522.1489996986, 550501.2769995356 184543.9819999731, 550513.0000000743 184674.9989997651, 550264.9999997175 184725.999999776, 550264.9999997175 184720.0000003007, 550262.1350000714 184633.0960000058, 550116.3139995348 184634.9999998118, 550114.0639997316 184669.8770000202, 549999.1769997 184680.0190002217, 550048.1610000044 184717.8500001443, 549988.8979997655 184778.6109995771, 549971.332000034 184801.6830005079, 549977.1100000248 184810.4220005084, 549927.7619998486 184906.1689997337, 549987.2499995513 184926.6259996187, 549984.5000004807 184990.0000004558, 549904.3750000821 185054.8440003376, 549855.4660002879 185145.5479996112, 549786.6250000461 185265.5940005074, 549765.5629995594 185416.7500003363, 549679.9379999863 185411.4530004344, 549673.687999844 185473.468999723, 549637.0210000677 185476.8140001538, 549618.8499997348 185517.0650004159, 549604 185773.2189996875, 549912.6250003941 185841.1869998196, 549899.0709998846 185885.600000324, 549892.7349996533 185973.7539998206, 549955.3049998994 185936.1639995945, 550106.5080000893 185984.5099995275, 550134.6829995197 185957.3030002328, 550171.0000000156 185971.0009997376, 550244.1370002538 185994.0190000118))",England,E02000011,2,4800,938,0.195
