,MSOA11CD,Count
0,E02000001,243.0
1,E02000002,0.0
2,E02000003,3.0
3,E02000004,0.0
4,E02000005,1.0
5,E02000007,0.0
6,E02000008,0.0
7,E02000009,1.0
8,E02000010,0.0
9,E02000011,0.0
10,E02000012,0.0
11,E02000013,0.0
12,E02000014,2.0
13,E02000015,1.0
14,E02000016,1.0
15,E02000017,5.0
16,E02000018,0.0
17,E02000019,1.0
18,E02000020,1.0
19,E02000021,2.0
20,E02000022,0.0
21,E02000023,1.0
22,E02000024,10.0
23,E02000025,3.0
24,E02000026,0.0
25,E02000027,0.0
26,E02000028,5.0
27,E02000029,5.0
28,E02000030,1.0
29,E02000031,16.0
30,E02000032,1.0
31,E02000033,4.0
32,E02000034,5.0
33,E02000035,5.0
34,E02000036,2.0
35,E02000037,2.0
36,E02000038,8.0
37,E02000039,7.0
38,E02000040,1.0
39,E02000041,14.0
40,E02000042,10.0
41,E02000043,1.0
42,E02000044,0.0
43,E02000045,1.0
44,E02000046,15.0
45,E02000047,1.0
46,E02000048,3.0
47,E02000049,0.0
48,E02000050,6.0
49,E02000051,9.0
50,E02000052,9.0
51,E02000053,5.0
52,E02000054,2.0
53,E02000055,14.0
54,E02000056,0.0
55,E02000057,5.0
56,E02000058,8.0
57,E02000059,3.0
58,E02000060,1.0
59,E02000061,24.0
60,E02000062,7.0
61,E02000063,2.0
62,E02000064,2.0
63,E02000065,0.0
64,E02000066,0.0
65,E02000067,1.0
66,E02000068,1.0
67,E02000069,1.0
68,E02000070,1.0
69,E02000071,1.0
70,E02000072,0.0
71,E02000073,1.0
72,E02000074,1.0
73,E02000075,1.0
74,E02000077,1.0
75,E02000078,1.0
76,E02000079,13.0
77,E02000080,6.0
78,E02000081,1.0
79,E02000082,1.0
80,E02000083,7.0
81,E02000084,0.0
82,E02000085,6.0
83,E02000086,1.0
84,E02000087,6.0
85,E02000088,2.0
86,E02000089,2.0
87,E02000090,9.0
88,E02000091,4.0
89,E02000092,1.0
90,E02000093,5.0
91,E02000094,6.0
92,E02000095,6.0
93,E02000096,5.0
94,E02000097,1.0
95,E02000098,1.0
96,E02000099,3.0
97,E02000100,3.0
98,E02000101,2.0
99,E02000102,0.0
100,E02000103,3.0
101,E02000104,1.0
102,E02000105,5.0
103,E02000106,2.0
104,E02000107,0.0
105,E02000108,0.0
106,E02000109,15.0
107,E02000110,1.0
108,E02000111,7.0
109,E02000112,12.0
110,E02000113,1.0
111,E02000114,5.0
112,E02000115,0.0
113,E02000116,3.0
114,E02000117,0.0
115,E02000118,1.0
116,E02000119,3.0
117,E02000120,9.0
118,E02000121,4.0
119,E02000122,1.0
120,E02000123,9.0
121,E02000124,0.0
122,E02000125,7.0
123,E02000126,6.0
124,E02000127,2.0
125,E02000128,3.0
126,E02000130,5.0
127,E02000131,0.0
128,E02000132,13.0
129,E02000133,1.0
130,E02000134,14.0
131,E02000135,3.0
132,E02000136,1.0
133,E02000137,0.0
134,E02000138,1.0
135,E02000139,4.0
136,E02000140,2.0
137,E02000141,0.0
138,E02000142,3.0
139,E02000144,10.0
140,E02000145,0.0
141,E02000146,5.0
142,E02000147,0.0
143,E02000148,10.0
144,E02000149,0.0
145,E02000150,0.0
146,E02000151,0.0
147,E02000152,0.0
148,E02000153,0.0
149,E02000154,11.0
150,E02000155,1.0
151,E02000156,7.0
152,E02000157,0.0
153,E02000158,0.0
154,E02000159,2.0
155,E02000160,4.0
156,E02000161,0.0
157,E02000162,1.0
158,E02000163,1.0
159,E02000165,0.0
160,E02000166,8.0
161,E02000167,24.0
162,E02000168,29.0
163,E02000169,3.0
164,E02000170,5.0
165,E02000171,7.0
166,E02000172,11.0
167,E02000173,24.0
168,E02000174,5.0
169,E02000175,39.0
170,E02000176,4.0
171,E02000177,11.0
172,E02000178,8.0
173,E02000179,8.0
174,E02000180,5.0
175,E02000181,2.0
176,E02000182,10.0
177,E02000183,29.0
178,E02000184,22.0
179,E02000185,6.0
180,E02000186,67.0
181,E02000187,28.0
182,E02000188,19.0
183,E02000189,17.0
184,E02000190,25.0
185,E02000191,105.0
186,E02000192,11.0
187,E02000193,154.0
188,E02000194,0.0
189,E02000195,0.0
190,E02000196,6.0
191,E02000197,6.0
192,E02000198,1.0
193,E02000199,4.0
194,E02000200,2.0
195,E02000201,6.0
196,E02000202,1.0
197,E02000203,6.0
198,E02000204,6.0
199,E02000206,2.0
200,E02000207,1.0
201,E02000208,1.0
202,E02000209,0.0
203,E02000210,0.0
204,E02000211,0.0
205,E02000212,7.0
206,E02000213,6.0
207,E02000214,1.0
208,E02000215,4.0
209,E02000216,0.0
210,E02000217,3.0
211,E02000218,0.0
212,E02000219,4.0
213,E02000220,47.0
214,E02000221,6.0
215,E02000222,3.0
216,E02000223,0.0
217,E02000224,4.0
218,E02000225,0.0
219,E02000226,3.0
220,E02000227,1.0
221,E02000228,1.0
222,E02000229,0.0
223,E02000230,12.0
224,E02000231,0.0
225,E02000232,1.0
226,E02000233,0.0
227,E02000234,5.0
228,E02000235,0.0
229,E02000236,0.0
230,E02000237,0.0
231,E02000238,0.0
232,E02000239,0.0
233,E02000240,0.0
234,E02000241,0.0
235,E02000242,1.0
236,E02000243,2.0
237,E02000244,1.0
238,E02000245,0.0
239,E02000246,0.0
240,E02000247,3.0
241,E02000248,6.0
242,E02000249,1.0
243,E02000250,4.0
244,E02000251,1.0
245,E02000252,11.0
246,E02000253,0.0
247,E02000254,0.0
248,E02000255,0.0
249,E02000256,4.0
250,E02000257,30.0
251,E02000258,0.0
252,E02000259,1.0
253,E02000260,14.0
254,E02000261,1.0
