,MSOA11CD,Count
0,E02000001,35.0
1,E02000002,1.0
2,E02000003,2.0
3,E02000004,1.0
4,E02000005,3.0
5,E02000007,2.0
6,E02000008,1.0
7,E02000009,1.0
8,E02000010,
9,E02000011,1.0
10,E02000012,1.0
11,E02000013,1.0
12,E02000014,2.0
13,E02000015,1.0
14,E02000016,5.0
15,E02000017,
16,E02000018,2.0
17,E02000019,4.0
18,E02000020,1.0
19,E02000021,
20,E02000022,1.0
21,E02000023,
22,E02000024,5.0
23,E02000025,
24,E02000026,
25,E02000027,
26,E02000028,2.0
27,E02000029,4.0
28,E02000030,
29,E02000031,3.0
30,E02000032,1.0
31,E02000033,2.0
32,E02000034,2.0
33,E02000035,
34,E02000036,2.0
35,E02000037,2.0
36,E02000038,2.0
37,E02000039,5.0
38,E02000040,3.0
39,E02000041,3.0
40,E02000042,3.0
41,E02000043,
42,E02000044,
43,E02000045,1.0
44,E02000046,1.0
45,E02000047,
46,E02000048,
47,E02000049,1.0
48,E02000050,1.0
49,E02000051,2.0
50,E02000052,3.0
51,E02000053,3.0
52,E02000054,
53,E02000055,6.0
54,E02000056,1.0
55,E02000057,
56,E02000058,2.0
57,E02000059,2.0
58,E02000060,
59,E02000061,3.0
60,E02000062,7.0
61,E02000063,
62,E02000064,2.0
63,E02000065,
64,E02000066,
65,E02000067,4.0
66,E02000068,3.0
67,E02000069,
68,E02000070,
69,E02000071,1.0
70,E02000072,2.0
71,E02000073,2.0
72,E02000074,
73,E02000075,1.0
74,E02000077,1.0
75,E02000078,1.0
76,E02000079,7.0
77,E02000080,6.0
78,E02000081,
79,E02000082,2.0
80,E02000083,3.0
81,E02000084,
82,E02000085,4.0
83,E02000086,
84,E02000087,
85,E02000088,1.0
86,E02000089,1.0
87,E02000090,5.0
88,E02000091,
89,E02000092,1.0
90,E02000093,1.0
91,E02000094,4.0
92,E02000095,2.0
93,E02000096,1.0
94,E02000097,1.0
95,E02000098,
96,E02000099,2.0
97,E02000100,2.0
98,E02000101,3.0
99,E02000102,
100,E02000103,1.0
101,E02000104,
102,E02000105,2.0
103,E02000106,3.0
104,E02000107,
105,E02000108,1.0
106,E02000109,7.0
107,E02000110,1.0
108,E02000111,
109,E02000112,2.0
110,E02000113,1.0
111,E02000114,2.0
112,E02000115,2.0
113,E02000116,1.0
114,E02000117,
115,E02000118,2.0
116,E02000119,1.0
117,E02000120,1.0
118,E02000121,2.0
119,E02000122,
120,E02000123,2.0
121,E02000124,5.0
122,E02000125,1.0
123,E02000126,1.0
124,E02000127,2.0
125,E02000128,3.0
126,E02000130,2.0
127,E02000131,1.0
128,E02000132,5.0
129,E02000133,
130,E02000134,4.0
131,E02000135,2.0
132,E02000136,1.0
133,E02000137,
134,E02000138,1.0
135,E02000139,3.0
136,E02000140,3.0
137,E02000141,4.0
138,E02000142,2.0
139,E02000144,4.0
140,E02000145,5.0
141,E02000146,2.0
142,E02000147,1.0
143,E02000148,3.0
144,E02000149,
145,E02000150,2.0
146,E02000151,2.0
147,E02000152,
148,E02000153,1.0
149,E02000154,4.0
150,E02000155,
151,E02000156,4.0
152,E02000157,1.0
153,E02000158,1.0
154,E02000159,4.0
155,E02000160,2.0
156,E02000161,1.0
157,E02000162,1.0
158,E02000163,2.0
159,E02000165,2.0
160,E02000166,1.0
161,E02000167,2.0
162,E02000168,5.0
163,E02000169,1.0
164,E02000170,2.0
165,E02000171,
166,E02000172,2.0
167,E02000173,4.0
168,E02000174,
169,E02000175,5.0
170,E02000176,1.0
171,E02000177,2.0
172,E02000178,1.0
173,E02000179,1.0
174,E02000180,2.0
175,E02000181,
176,E02000182,3.0
177,E02000183,1.0
178,E02000184,2.0
179,E02000185,5.0
180,E02000186,9.0
181,E02000187,5.0
182,E02000188,3.0
183,E02000189,1.0
184,E02000190,2.0
185,E02000191,6.0
186,E02000192,6.0
187,E02000193,6.0
188,E02000194,2.0
189,E02000195,1.0
190,E02000196,1.0
191,E02000197,2.0
192,E02000198,
193,E02000199,
194,E02000200,2.0
195,E02000201,2.0
196,E02000202,1.0
197,E02000203,3.0
198,E02000204,3.0
199,E02000206,2.0
200,E02000207,1.0
201,E02000208,1.0
202,E02000209,1.0
203,E02000210,
204,E02000211,2.0
205,E02000212,1.0
206,E02000213,8.0
207,E02000214,2.0
208,E02000215,2.0
209,E02000216,
210,E02000217,5.0
211,E02000218,1.0
212,E02000219,2.0
213,E02000220,8.0
214,E02000221,3.0
215,E02000222,2.0
216,E02000223,
217,E02000224,1.0
218,E02000225,2.0
219,E02000226,3.0
220,E02000227,2.0
221,E02000228,
222,E02000229,2.0
223,E02000230,2.0
224,E02000231,
225,E02000232,2.0
226,E02000233,1.0
227,E02000234,3.0
228,E02000235,
229,E02000236,1.0
230,E02000237,
231,E02000238,1.0
232,E02000239,1.0
233,E02000240,
234,E02000241,1.0
235,E02000242,
236,E02000243,4.0
237,E02000244,1.0
238,E02000245,1.0
239,E02000246,4.0
240,E02000247,2.0
241,E02000248,
242,E02000249,3.0
243,E02000250,2.0
244,E02000251,
245,E02000252,5.0
246,E02000253,1.0
247,E02000254,
248,E02000255,
249,E02000256,2.0
250,E02000257,8.0
251,E02000258,2.0
252,E02000259,
253,E02000260,2.0
254,E02000261,1.0
255,E02000262,3.0
256,E02000263,
257,E02000264,3.0
258,E02000265,4.0
259,E02000266,
260,E02000267,1.0
261,E02000268,2.0
262,E02000269,2.0
263,E02000270,1.0
264,E02000271,
265,E02000272,1.0
266,E02000274,1.0
267,E02000275,
268,E02000276,
269,E02000277,1.0
270,E02000278,1.0
271,E02000279,1.0
272,E02000280,2.0
273,E02000281,
274,E02000282,2.0
275,E02000283,1.0
276,E02000284,1.0
277,E02000285,
278,E02000286,2.0
279,E02000287,2.0
280,E02000288,4.0
281,E02000289,
282,E02000290,1.0
283,E02000291,7.0
284,E02000292,1.0
285,E02000293,1.0
286,E02000294,2.0
287,E02000295,1.0
288,E02000296,4.0
289,E02000297,1.0
290,E02000298,1.0
291,E02000299,
292,E02000300,
293,E02000301,
294,E02000302,1.0
295,E02000303,
296,E02000304,
297,E02000305,1.0
298,E02000306,3.0
299,E02000307,
300,E02000308,1.0
301,E02000309,3.0
302,E02000311,
303,E02000312,1.0
304,E02000313,
305,E02000314,4.0
306,E02000315,2.0
307,E02000316,7.0
308,E02000317,
309,E02000318,2.0
310,E02000319,
311,E02000320,1.0
312,E02000321,
313,E02000323,2.0
314,E02000324,2.0
315,E02000326,
316,E02000327,
317,E02000328,
318,E02000329,1.0
319,E02000331,2.0
320,E02000332,
321,E02000333,2.0
322,E02000334,
323,E02000335,
324,E02000337,1.0
325,E02000339,5.0
326,E02000340,4.0
327,E02000341,1.0
328,E02000342,1.0
329,E02000343,
330,E02000344,
331,E02000345,2.0
332,E02000346,2.0
333,E02000347,
334,E02000348,1.0
335,E02000350,
336,E02000351,2.0
337,E02000352,
338,E02000353,3.0
339,E02000354,
340,E02000355,1.0
341,E02000356,
342,E02000357,
343,E02000358,2.0
344,E02000359,2.0
345,E02000360,2.0
346,E02000361,5.0
347,E02000362,1.0
348,E02000363,1.0
349,E02000364,2.0
350,E02000365,5.0
351,E02000366,1.0
352,E02000367,4.0
353,E02000368,
354,E02000369,4.0
355,E02000370,1.0
356,E02000371,8.0
357,E02000372,3.0
358,E02000373,1.0
359,E02000374,
360,E02000375,3.0
361,E02000376,3.0
362,E02000377,5.0
363,E02000378,3.0
364,E02000379,
365,E02000380,
366,E02000381,1.0
367,E02000382,3.0
368,E02000383,2.0
369,E02000384,7.0
370,E02000385,1.0
371,E02000386,2.0
372,E02000387,1.0
373,E02000388,3.0
374,E02000389,4.0
375,E02000390,2.0
376,E02000391,2.0
377,E02000392,7.0
378,E02000393,1.0
379,E02000394,2.0
380,E02000395,1.0
381,E02000396,1.0
382,E02000397,1.0
383,E02000398,
384,E02000400,2.0
385,E02000401,1.0
386,E02000402,
387,E02000403,
388,E02000404,1.0
389,E02000405,
390,E02000406,
391,E02000407,
392,E02000408,3.0
393,E02000409,1.0
394,E02000410,2.0
395,E02000411,2.0
396,E02000412,6.0
397,E02000413,
398,E02000414,
399,E02000415,1.0
400,E02000416,2.0
401,E02000417,3.0
402,E02000418,
403,E02000419,1.0
404,E02000420,2.0
405,E02000421,3.0
406,E02000422,1.0
407,E02000423,1.0
408,E02000424,1.0
409,E02000425,
410,E02000426,
411,E02000427,2.0
412,E02000428,1.0
413,E02000429,
414,E02000430,4.0
415,E02000431,3.0
416,E02000432,
417,E02000433,2.0
418,E02000434,1.0
419,E02000435,
420,E02000436,
421,E02000437,3.0
422,E02000438,2.0
423,E02000439,2.0
424,E02000440,2.0
425,E02000441,1.0
426,E02000442,1.0
427,E02000443,1.0
428,E02000444,1.0
429,E02000445,1.0
430,E02000447,
431,E02000448,3.0
432,E02000449,1.0
433,E02000451,1.0
434,E02000452,3.0
435,E02000453,2.0
436,E02000454,1.0
437,E02000455,4.0
438,E02000456,
439,E02000457,2.0
440,E02000459,2.0
441,E02000460,1.0
442,E02000461,
443,E02000462,3.0
444,E02000463,
445,E02000464,
446,E02000465,
447,E02000466,
448,E02000467,4.0
449,E02000468,2.0
450,E02000469,1.0
451,E02000470,2.0
452,E02000471,1.0
453,E02000472,
454,E02000473,2.0
455,E02000474,3.0
456,E02000475,1.0
457,E02000476,12.0
458,E02000477,2.0
459,E02000478,
460,E02000479,1.0
461,E02000480,1.0
462,E02000481,
463,E02000482,1.0
464,E02000483,4.0
465,E02000484,2.0
466,E02000485,4.0
467,E02000486,1.0
468,E02000487,1.0
469,E02000488,2.0
470,E02000489,2.0
471,E02000490,2.0
472,E02000491,
473,E02000492,
474,E02000493,1.0
475,E02000494,
476,E02000495,4.0
477,E02000496,1.0
478,E02000497,1.0
479,E02000498,1.0
480,E02000499,2.0
481,E02000500,6.0
482,E02000501,1.0
483,E02000502,1.0
484,E02000503,
485,E02000504,1.0
486,E02000506,1.0
487,E02000507,1.0
488,E02000508,1.0
489,E02000509,4.0
490,E02000510,3.0
491,E02000511,2.0
492,E02000512,
493,E02000513,1.0
494,E02000514,2.0
495,E02000515,5.0
496,E02000516,
497,E02000517,
498,E02000518,
499,E02000519,1.0
500,E02000520,3.0
501,E02000521,3.0
502,E02000522,
503,E02000523,3.0
504,E02000524,4.0
505,E02000525,1.0
506,E02000526,1.0
507,E02000528,3.0
508,E02000529,2.0
509,E02000530,4.0
510,E02000531,1.0
511,E02000532,2.0
512,E02000533,
513,E02000534,1.0
514,E02000535,2.0
515,E02000536,1.0
516,E02000537,1.0
517,E02000538,1.0
518,E02000539,2.0
519,E02000540,3.0
520,E02000541,1.0
521,E02000542,3.0
522,E02000543,4.0
523,E02000544,
524,E02000545,3.0
525,E02000546,1.0
526,E02000547,2.0
527,E02000548,2.0
528,E02000549,2.0
529,E02000550,4.0
530,E02000551,1.0
531,E02000552,
532,E02000553,1.0
